,source,target,threshold,AUROC,AUPRC,Prevalence
28,Erlich_et_al,Gao_et_al,2sigma,0.8852219238928667,0.1697123485520404,0.0166883963494132
29,Erlich_et_al,Gao_et_al,3sigma,0.9424629138054944,0.0718682838901489,0.0036505867014341
30,Erlich_et_al,GCall,1sigma,0.4411119095596515,0.0526347141058501,0.0598433072178696
31,Erlich_et_al,GCall,2sigma,0.3824111606823734,0.0208644182813406,0.0271711951991998
32,Erlich_et_al,GCall,3sigma,0.4437269708760448,0.0142305912722115,0.0160860143357226
33,Erlich_et_al,GCfix,1sigma,0.4214998740575785,0.0417163564553134,0.0511922627980657
34,Erlich_et_al,GCfix,2sigma,0.4327069365056628,0.020652515206358,0.0246790061697515
35,Erlich_et_al,GCfix,3sigma,0.4753718979204807,0.0138361875698299,0.0152576288144072
36,Erlich_et_al,Koch_et_al,1sigma,0.5057280876178423,0.1696351965500029,0.1517760133723359
37,Erlich_et_al,Koch_et_al,2sigma,0.5094438433715873,0.0434082303487691,0.0382783117425825
38,Erlich_et_al,Koch_et_al,3sigma,0.4953447080372423,0.0073193381003043,0.0070204763894692
39,Erlich_et_al,Song_et_al,1sigma,0.5698581109132863,0.1895979972406987,0.1380157849361981
40,Erlich_et_al,Song_et_al,2sigma,0.5371698637768929,0.0473263525854989,0.0347135229367411
41,Erlich_et_al,Song_et_al,3sigma,0.564927556148842,0.0126985469079772,0.0088593787956007
42,Gao_et_al,Choi_et_al,1sigma,0.5135751186083289,0.1526015795626659,0.1469045120671563
43,Gao_et_al,Choi_et_al,2sigma,0.4651140496179487,0.0643325462263502,0.059601259181532
44,Gao_et_al,Choi_et_al,3sigma,0.535214416670393,0.0151148371167464,0.0119622245540398
45,Gao_et_al,Erlich_et_al,1sigma,0.8284679067215364,0.473263850728447,0.15625
46,Gao_et_al,Erlich_et_al,2sigma,0.8612984172464173,0.1800107828462631,0.0258611111111111
47,Gao_et_al,Erlich_et_al,3sigma,0.8343179096580149,0.0188189502513605,0.0025555555555555
48,Gao_et_al,Gao_et_al,1sigma,0.8802469519297972,0.5388682179326658,0.02
49,Gao_et_al,Gao_et_al,2sigma,0.8999013676206318,0.2690362707562493,0.02
50,Gao_et_al,Gao_et_al,3sigma,0.9590563903546392,0.2773492176328385,0.02
51,Gao_et_al,GCall,1sigma,0.4241450221260791,0.0499793647791611,0.0598433072178696
52,Gao_et_al,GCall,2sigma,0.4057281964703952,0.0220687721552112,0.0271711951991998
53,Gao_et_al,GCall,3sigma,0.4663071983637389,0.0143364879804153,0.0160860143357226
54,Gao_et_al,GCfix,1sigma,0.4131923255268114,0.0405686725235274,0.0511922627980657
55,Gao_et_al,GCfix,2sigma,0.4172718944795368,0.0200642104898195,0.0246790061697515
56,Gao_et_al,GCfix,3sigma,0.4767150007888358,0.0139023501889198,0.0152576288144072
57,Gao_et_al,Koch_et_al,1sigma,0.5081679180648861,0.1643054343090831,0.1517760133723359
58,Gao_et_al,Koch_et_al,2sigma,0.5424262353312186,0.0525381777468944,0.0382783117425825
59,Gao_et_al,Koch_et_al,3sigma,0.5246391798028865,0.0077470741417649,0.0070204763894692
60,Gao_et_al,Song_et_al,1sigma,0.5742653686888846,0.1891034998300459,0.1380157849361981
61,Gao_et_al,Song_et_al,2sigma,0.5695012725003299,0.0549778731520585,0.0347135229367411
62,Gao_et_al,Song_et_al,3sigma,0.4881879353502419,0.0095386993351094,0.0088593787956007
63,GCall,Choi_et_al,1sigma,0.4972725355824987,0.1502797511237752,0.1469045120671563
64,GCall,Choi_et_al,2sigma,0.5186499492379405,0.06353990899432,0.059601259181532
65,GCall,Choi_et_al,3sigma,0.4434780664490453,0.0102909907915436,0.0119622245540398
66,GCall,Erlich_et_al,1sigma,0.4625527074531321,0.1383511206838965,0.15625
67,GCall,Erlich_et_al,2sigma,0.3912916967222421,0.0196533721995794,0.0258611111111111
68,GCall,Erlich_et_al,3sigma,0.4265736017406802,0.0020478419815161,0.0025555555555555
69,GCall,Gao_et_al,1sigma,0.431799114700629,0.1171931190852021,0.14167753150804
70,GCall,Gao_et_al,2sigma,0.427273702451457,0.0137127817494523,0.0166883963494132
71,GCall,Gao_et_al,3sigma,0.3326520523589353,0.0025674451890712,0.0036505867014341
72,GCall,GCall,1sigma,0.8456394835217974,0.5088293729700609,0.02
73,GCall,GCall,2sigma,0.8859141389996875,0.4844128289058573,0.02
74,GCall,GCall,3sigma,0.8841399919176954,0.4111813016624837,0.02
75,GCall,GCfix,1sigma,0.8784133258531167,0.521022928383237,0.0511922627980657
76,GCall,GCfix,2sigma,0.8837416767939079,0.4484561843416566,0.0246790061697515
77,GCall,GCfix,3sigma,0.8838727258510983,0.4115513471130819,0.0152576288144072
78,GCall,Koch_et_al,1sigma,0.6043197545992032,0.2856532147371728,0.1517760133723359
79,GCall,Koch_et_al,2sigma,0.6511462739786642,0.1628391195205214,0.0382783117425825
80,GCall,Koch_et_al,3sigma,0.6990693424074451,0.0734260849820941,0.0070204763894692
81,GCall,Song_et_al,1sigma,0.5207624269829029,0.14524603247353,0.1380157849361981
82,GCall,Song_et_al,2sigma,0.5097761099063906,0.035987628339161,0.0347135229367411
83,GCall,Song_et_al,3sigma,0.5340816284400481,0.0098727949199727,0.0088593787956007
84,GCfix,Choi_et_al,1sigma,0.4802417852749956,0.1408030086928982,0.1469045120671563
85,GCfix,Choi_et_al,2sigma,0.5044962926409158,0.0623040379578098,0.059601259181532
86,GCfix,Choi_et_al,3sigma,0.5354640850213894,0.01314912977531,0.0119622245540398
87,GCfix,Erlich_et_al,1sigma,0.4384537481481482,0.1321462548545785,0.15625
88,GCfix,Erlich_et_al,2sigma,0.4404041201389104,0.0216705167661662,0.0258611111111111
89,GCfix,Erlich_et_al,3sigma,0.5837082220384461,0.003325121958543,0.0025555555555555
90,GCfix,Gao_et_al,1sigma,0.4257581734876136,0.1153875918596339,0.14167753150804
91,GCfix,Gao_et_al,2sigma,0.4292255038451339,0.0133460364275688,0.0166883963494132
92,GCfix,Gao_et_al,3sigma,0.6129939806333421,0.0051328467181268,0.0036505867014341
93,GCfix,GCall,1sigma,0.851405969102511,0.5023852328373474,0.0598433072178696
94,GCfix,GCall,2sigma,0.868473973685649,0.3689999898432293,0.0271711951991998
95,GCfix,GCall,3sigma,0.7916584919448816,0.238353267939522,0.0160860143357226
96,GCfix,GCfix,1sigma,0.8598223218035574,0.5054317133306705,0.02
97,GCfix,GCfix,2sigma,0.8727664286094298,0.4721078786350751,0.02
98,GCfix,GCfix,3sigma,0.8628419200322497,0.4073607836856515,0.02
99,GCfix,Koch_et_al,1sigma,0.5879278431980235,0.2741355120206658,0.1517760133723359
100,GCfix,Koch_et_al,2sigma,0.652021856451152,0.1645599178016913,0.0382783117425825
101,GCfix,Koch_et_al,3sigma,0.6980573224155414,0.0548817823285398,0.0070204763894692
102,GCfix,Song_et_al,1sigma,0.5123010202378402,0.1432624962160214,0.1380157849361981
103,GCfix,Song_et_al,2sigma,0.4971715826099688,0.0345505914719932,0.0347135229367411
104,GCfix,Song_et_al,3sigma,0.4129459227429222,0.0071291333389078,0.0088593787956007
105,Koch_et_al,Choi_et_al,1sigma,0.525361799332279,0.1566837727674474,0.1469045120671563
106,Koch_et_al,Choi_et_al,2sigma,0.5050950649220025,0.063351477082764,0.059601259181532
107,Koch_et_al,Choi_et_al,3sigma,0.4719887015755191,0.0131490109854388,0.0119622245540398
108,Koch_et_al,Erlich_et_al,1sigma,0.6607252740740741,0.2905373247219103,0.15625
109,Koch_et_al,Erlich_et_al,2sigma,0.4921258310186035,0.0248255235287343,0.0258611111111111
110,Koch_et_al,Erlich_et_al,3sigma,0.5586693697298893,0.0042996164661839,0.0025555555555555
111,Koch_et_al,Gao_et_al,1sigma,0.6994340917915665,0.3012854247646986,0.14167753150804
112,Koch_et_al,Gao_et_al,2sigma,0.5072717780429594,0.0166097709075815,0.0166883963494132
113,Koch_et_al,Gao_et_al,3sigma,0.644352637678992,0.0073394879168061,0.0036505867014341
114,Koch_et_al,GCall,1sigma,0.6508492364527153,0.1296738706969429,0.0598433072178696
115,Koch_et_al,GCall,2sigma,0.6980764095922495,0.1045375002917948,0.0271711951991998
116,Koch_et_al,GCall,3sigma,0.5291777217434431,0.0184094585650659,0.0160860143357226
117,Koch_et_al,GCfix,1sigma,0.6735337726052334,0.1411637855565736,0.0511922627980657
118,Koch_et_al,GCfix,2sigma,0.7355146756433302,0.1922743114207233,0.0246790061697515
119,Koch_et_al,GCfix,3sigma,0.6365023713653984,0.0233446811654678,0.0152576288144072
120,Koch_et_al,Koch_et_al,1sigma,0.6705176886537594,0.2946794785361265,0.02
121,Koch_et_al,Koch_et_al,2sigma,0.6752506909517538,0.1599670126533889,0.02
122,Koch_et_al,Koch_et_al,3sigma,0.6647148666667834,0.0984290501151204,0.02
123,Koch_et_al,Song_et_al,1sigma,0.5509338626648788,0.1806841131312393,0.1380157849361981
124,Koch_et_al,Song_et_al,2sigma,0.5742865998444208,0.0433598584633516,0.0347135229367411
125,Koch_et_al,Song_et_al,3sigma,0.5865081491710636,0.0114086565269795,0.0088593787956007
126,Song_et_al,Choi_et_al,1sigma,0.501051836232648,0.1483697476963753,0.1469045120671563
127,Song_et_al,Choi_et_al,2sigma,0.5219125509585071,0.0639583224239535,0.059601259181532
128,Song_et_al,Choi_et_al,3sigma,0.4861005529967654,0.0128154269460165,0.0119622245540398
129,Song_et_al,Erlich_et_al,1sigma,0.6308203822588021,0.2551717467751216,0.15625
130,Song_et_al,Erlich_et_al,2sigma,0.6581413735248163,0.062529320192523,0.0258611111111111
131,Song_et_al,Erlich_et_al,3sigma,0.7247396047750048,0.0146902857324377,0.0025555555555555
132,Song_et_al,Gao_et_al,1sigma,0.6061138774559292,0.2086165611578435,0.14167753150804
133,Song_et_al,Gao_et_al,2sigma,0.7072698444267657,0.0660227421441856,0.0166883963494132
134,Song_et_al,Gao_et_al,3sigma,0.6622881901604749,0.0351965207080976,0.0036505867014341
135,Song_et_al,GCall,1sigma,0.4817574058159979,0.0562187847976469,0.0598433072178696
136,Song_et_al,GCall,2sigma,0.4684638030502445,0.0247032858096942,0.0271711951991998
137,Song_et_al,GCall,3sigma,0.4848195965089,0.0149545783619946,0.0160860143357226
138,Song_et_al,GCfix,1sigma,0.4577459598243675,0.0447777629743112,0.0511922627980657
139,Song_et_al,GCfix,2sigma,0.4671631902889382,0.0221110006498896,0.0246790061697515
140,Song_et_al,GCfix,3sigma,0.438203156916332,0.0127701902360254,0.0152576288144072
141,Song_et_al,Koch_et_al,1sigma,0.5754639136773962,0.1949630391420602,0.1517760133723359
142,Song_et_al,Koch_et_al,2sigma,0.5832457023501547,0.0568072642170573,0.0382783117425825
143,Song_et_al,Koch_et_al,3sigma,0.5729856794161146,0.0098669513431049,0.0070204763894692
144,Song_et_al,Song_et_al,1sigma,0.7380617253953299,0.3747939030969229,0.02
145,Song_et_al,Song_et_al,2sigma,0.801240511692409,0.1832334823640615,0.02
146,Song_et_al,Song_et_al,3sigma,0.8223934063737911,0.0727477080217289,0.02
147,Choi_et_al,Choi_et_al,2perc,0.5613421668080568,0.1053072089484379,0.02
148,Choi_et_al,Erlich_et_al,2perc,0.5041972257653061,0.0205891689627022,0.02
149,Choi_et_al,Gao_et_al,2perc,0.5196469753414937,0.0213392459234335,0.02
150,Choi_et_al,GCall,2perc,0.521478638657368,0.0241051322077663,0.02
151,Choi_et_al,GCfix,2perc,0.4967138846350178,0.0286439786050662,0.02
152,Choi_et_al,Koch_et_al,2perc,0.5139017412935323,0.0211683367367325,0.02
153,Choi_et_al,Song_et_al,2perc,0.463214272302245,0.0182273689333221,0.02
154,Erlich_et_al,Choi_et_al,2perc,0.5317118226600986,0.0225410188017916,0.02
155,Erlich_et_al,Erlich_et_al,2perc,0.9742000503905268,0.5430651579838105,0.02
156,Erlich_et_al,Gao_et_al,2perc,0.8729866904427841,0.181026215092983,0.02
157,Erlich_et_al,GCall,2perc,0.3951954697510914,0.0158153038655521,0.02
158,Erlich_et_al,GCfix,2perc,0.4482431512676536,0.0175387518000806,0.02
159,Erlich_et_al,Koch_et_al,2perc,0.5064019189765459,0.0224990523774398,0.02
160,Erlich_et_al,Song_et_al,2perc,0.6142017086935292,0.0338593307019327,0.02
161,Gao_et_al,Choi_et_al,2perc,0.4980233097736846,0.020139663167054,0.02
162,Gao_et_al,Erlich_et_al,2perc,0.8628341128117915,0.1527238052710008,0.02
163,Gao_et_al,Gao_et_al,2perc,0.9026454489403688,0.2586498576812004,0.02
164,Gao_et_al,GCall,2perc,0.4293020354935647,0.0166999125522853,0.02
165,Gao_et_al,GCfix,2perc,0.5278153536384776,0.0253682281122476,0.02
166,Gao_et_al,Koch_et_al,2perc,0.5479785003553661,0.0238163111404051,0.02
167,Gao_et_al,Song_et_al,2perc,0.5576114006436672,0.0277283026822224,0.02
168,GCall,Choi_et_al,2perc,0.4857660455486542,0.0194755448922641,0.02
169,GCall,Erlich_et_al,2perc,0.3917316920981355,0.0151170534882599,0.02
170,GCall,Gao_et_al,2perc,0.3407641379967085,0.0141048392208324,0.02
171,GCall,GCall,2perc,0.880325,0.422801,0.02
172,GCall,GCfix,2perc,0.8618371050989733,0.3768261837959654,0.02
173,GCall,Koch_et_al,2perc,0.647857853589197,0.0942381848570521,0.02
174,GCall,Song_et_al,2perc,0.5598238803035576,0.0236655398196532,0.02
175,GCfix,Choi_et_al,2perc,0.4372166595273792,0.0168778179063051,0.02
176,GCfix,Erlich_et_al,2perc,0.4930198934319098,0.0189808484747965,0.02
177,GCfix,Gao_et_al,2perc,0.3994967542067063,0.0153936931416874,0.02
178,GCfix,GCall,2perc,0.8925139621250779,0.387124662850182,0.02
179,GCfix,GCfix,2perc,0.86845,0.438005,0.02
180,GCfix,Koch_et_al,2perc,0.666911158493248,0.1280338036283861,0.02
181,GCfix,Song_et_al,2perc,0.4869902852463171,0.0193131533614298,0.02
182,Koch_et_al,Choi_et_al,2perc,0.4549589044763333,0.01722383782351,0.02
183,Koch_et_al,Erlich_et_al,2perc,0.5601884773006425,0.0248874021741807,0.02
184,Koch_et_al,Gao_et_al,2perc,0.4842715530581417,0.019122199142089,0.02
185,Koch_et_al,GCall,2perc,0.5568552616658162,0.0239915972944675,0.02
186,Koch_et_al,GCfix,2perc,0.6271255175543078,0.0320359200413852,0.02
187,Koch_et_al,Koch_et_al,2perc,0.6654442075337597,0.1033148051179266,0.02
188,Koch_et_al,Song_et_al,2perc,0.5380181606353802,0.0231296834571199,0.02
189,Song_et_al,Choi_et_al,2perc,0.4876423395445134,0.0210215134613033,0.02
190,Song_et_al,Erlich_et_al,2perc,0.6923781031509826,0.0511912589945447,0.02
191,Song_et_al,Gao_et_al,2perc,0.6279164333980727,0.038000897342278,0.02
192,Song_et_al,GCall,2perc,0.4917091909054827,0.0186578165185167,0.02
193,Song_et_al,GCfix,2perc,0.4749695139243378,0.0181363664060375,0.02
194,Song_et_al,Koch_et_al,2perc,0.5834504264392324,0.0330448402715849,0.02
195,Song_et_al,Song_et_al,2perc,0.8079015010380625,0.1234324995345843,0.02
