,source,target,threshold,AUROC,AUPRC,Prevalence
0,Choi_et_al,Choi_et_al,1sigma,0.6341222983658408,0.2488012643468364,0.02
1,Choi_et_al,Choi_et_al,2sigma,0.6093104704696524,0.1251709243435833,0.02
2,Choi_et_al,Choi_et_al,3sigma,0.5747351815398412,0.0981344253131512,0.02
3,Choi_et_al,Erlich_et_al,1sigma,0.3315041126657522,0.1092949222245604,0.15625
4,Choi_et_al,Erlich_et_al,2sigma,0.5392101941487825,0.0285629632237444,0.0258611111111111
5,Choi_et_al,Erlich_et_al,3sigma,0.4991559044611592,0.0031520882080476,0.0025555555555555
6,Choi_et_al,Gao_et_al,1sigma,0.4107331831948435,0.1164861496886875,0.14167753150804
7,Choi_et_al,Gao_et_al,2sigma,0.5363648752173015,0.0188543843266865,0.0166883963494132
8,Choi_et_al,Gao_et_al,3sigma,0.5119089160570448,0.0047086665716646,0.0036505867014341
9,Choi_et_al,GCall,1sigma,0.495393775064699,0.0599293258323346,0.0598433072178696
10,Choi_et_al,GCall,2sigma,0.5312364654335056,0.0303352034304059,0.0271711951991998
11,Choi_et_al,GCall,3sigma,0.5278574767431908,0.0179867577886317,0.0160860143357226
12,Choi_et_al,GCfix,1sigma,0.477857604918624,0.0476138050449255,0.0511922627980657
13,Choi_et_al,GCfix,2sigma,0.5262744151229363,0.029179159186295,0.0246790061697515
14,Choi_et_al,GCfix,3sigma,0.5035259341921234,0.0155304767341144,0.0152576288144072
15,Choi_et_al,Koch_et_al,1sigma,0.5419637543769639,0.166045654407634,0.1517760133723359
16,Choi_et_al,Koch_et_al,2sigma,0.5180791794476345,0.0435440113297653,0.0382783117425825
17,Choi_et_al,Koch_et_al,3sigma,0.5378715916970273,0.0085844748453382,0.0070204763894692
18,Choi_et_al,Song_et_al,1sigma,0.5564652258327578,0.1663000960107537,0.1380157849361981
19,Choi_et_al,Song_et_al,2sigma,0.3836023489767211,0.0260062815927546,0.0347135229367411
20,Choi_et_al,Song_et_al,3sigma,0.5145001901861664,0.0091006563405593,0.0088593787956007
21,Erlich_et_al,Choi_et_al,1sigma,0.4687938850817079,0.1350018614741264,0.1469045120671563
22,Erlich_et_al,Choi_et_al,2sigma,0.4877951035828898,0.0574177424533795,0.059601259181532
23,Erlich_et_al,Choi_et_al,3sigma,0.6008101179030839,0.0186645338862724,0.0119622245540398
24,Erlich_et_al,Erlich_et_al,1sigma,0.951287242798354,0.8074975002966889,0.02
25,Erlich_et_al,Erlich_et_al,2sigma,0.9715804115498732,0.5657054548447487,0.02
26,Erlich_et_al,Erlich_et_al,3sigma,0.9809804840964542,0.3676452518700891,0.02
27,Erlich_et_al,Gao_et_al,1sigma,0.822950873650695,0.4283815295307467,0.14167753150804
