source,target,AUROC,AUPRC
Choi_et_al,Choi_et_al,0.5378632510999262,0.0240624896512866
Choi_et_al,Erlich_et_al,0.3864141136778785,0.0149017657249823
Choi_et_al,Gao_et_al,0.5926327826274607,0.0326826671655615
Choi_et_al,GCall,0.4812701990134376,0.0193786093954513
Choi_et_al,GCfix,0.4796620653961772,0.0188486764650894
Choi_et_al,Koch_et_al,0.4791858564321251,0.0185825048601546
Choi_et_al,Song_et_al,0.4921393440447242,0.0202255701626064
Erlich_et_al,Choi_et_al,0.4861464357107161,0.02109873431073
Erlich_et_al,Erlich_et_al,0.7771532108213657,0.0754410522951916
Erlich_et_al,Gao_et_al,0.73438137168845,0.0566033267234774
Erlich_et_al,GCall,0.4731409820264217,0.0180509607661347
Erlich_et_al,GCfix,0.580806002212013,0.025644076620303
Erlich_et_al,Koch_et_al,0.5015225657427149,0.0202447111288985
Erlich_et_al,Song_et_al,0.4616831354742759,0.0181631357094538
Gao_et_al,Choi_et_al,0.5255463785964161,0.0223439105876221
Gao_et_al,Erlich_et_al,0.6915016573759133,0.0347869184878139
Gao_et_al,Gao_et_al,0.7648770608788917,0.0785558582007691
Gao_et_al,GCall,0.444607749333787,0.0166912028967246
Gao_et_al,GCfix,0.3870430633543191,0.0149326029806191
Gao_et_al,Koch_et_al,0.4531462331201136,0.0176973268729477
Gao_et_al,Song_et_al,0.4533872081974902,0.0181713754140658
GCall,Choi_et_al,0.4885001695580781,0.0197969847619597
GCall,Erlich_et_al,0.4293212337018141,0.0161185555133816
GCall,Gao_et_al,0.2746149244286551,0.0125001419888339
GCall,GCall,0.576339601442094,0.0262978019812771
GCall,GCfix,0.6135762293687256,0.0302445558059623
GCall,Koch_et_al,0.5636471215351813,0.0243132755073397
GCall,Song_et_al,0.540160432536373,0.0238744710768447
GCfix,Choi_et_al,0.5006949650174912,0.0203130386327776
GCfix,Erlich_et_al,0.6054156726347947,0.0290574034326434
GCfix,Gao_et_al,0.4576353514618549,0.0180379140891754
GCfix,GCall,0.5662779242501559,0.0241885459584019
GCfix,GCfix,0.6140767728233949,0.0326726420540228
GCfix,Koch_et_al,0.5523255152807391,0.0248163366139246
GCfix,Song_et_al,0.5133075869850579,0.020452212401098
Koch_et_al,Choi_et_al,0.4784248500749625,0.0187955781120999
Koch_et_al,Erlich_et_al,0.5391699637030738,0.0219788097767381
Koch_et_al,Gao_et_al,0.3266140458796127,0.0135542863002499
Koch_et_al,GCall,0.5827192124510971,0.0250695761355595
Koch_et_al,GCfix,0.6148029394248766,0.0297041215752874
Koch_et_al,Koch_et_al,0.5524413646055437,0.0268280273506044
Koch_et_al,Song_et_al,0.530557689484566,0.0220059900759787
Song_et_al,Choi_et_al,0.4908382862140358,0.020013561368265
Song_et_al,Erlich_et_al,0.2917096167170572,0.0126901260865428
Song_et_al,Gao_et_al,0.2377826773782069,0.0119246063321247
Song_et_al,GCall,0.5581100810795487,0.0255126945271752
Song_et_al,GCfix,0.6068485551018095,0.0297271326640761
Song_et_al,Koch_et_al,0.5485373134328357,0.0230937762559716
Song_et_al,Song_et_al,0.5383719985845561,0.024813845843594
