seq_id,PCR1,PCR2,PCR3,PCR4,PCR5,PCR6
000000,137,128,118,107,95,83
000001,132,147,160,172,182,190
000002,194,182,167,151,134,118
000003,63,54,46,38,31,25
000004,131,132,130,126,121,114
000005,65,74,83,91,99,106
000006,34,35,35,34,33,31
000007,59,56,53,49,45,40
000008,106,97,87,77,67,58
000009,63,65,66,66,65,63
000010,39,51,66,84,105,130
000011,101,93,84,74,65,56
000012,70,63,56,49,42,36
000013,50,44,38,33,28,23
000014,76,87,98,109,119,128
000015,79,75,70,64,58,52
000016,101,100,98,94,89,83
000017,119,110,99,88,77,66
000018,64,63,61,58,54,50
000019,74,65,56,47,39,32
000020,96,91,85,78,70,62
000021,49,47,44,41,38,34
000022,78,68,58,49,40,32
000023,80,78,75,71,66,60
000024,57,44,33,24,17,12
000025,47,40,33,27,22,17
000026,69,76,82,87,91,94
000027,101,92,82,72,63,54
000028,111,99,87,75,64,54
000029,91,106,122,138,153,168
000030,24,11,5,2,1,0
000031,78,77,75,72,68,63
000032,85,82,78,73,67,61
000033,50,48,45,42,38,34
000034,82,76,69,62,55,48
000035,55,73,95,121,152,188
000036,73,86,99,112,125,137
000037,58,59,59,58,56,53
000038,102,105,106,105,103,99
000039,38,33,28,24,20,16
000040,47,46,44,41,38,35
000041,136,162,189,217,246,274
000042,67,62,56,50,44,38
000043,112,130,148,165,182,197
000044,61,59,56,52,48,44
000045,57,51,45,39,33,28
000046,77,98,123,152,185,222
000047,81,81,80,77,73,68
000048,55,47,40,33,27,22
000049,93,111,130,150,170,190
000050,66,63,59,54,49,44
000051,69,58,48,39,31,25
000052,74,67,59,51,44,37
000053,102,95,87,78,69,60
000054,67,56,46,37,29,23
000055,81,89,96,102,107,110
000056,68,70,71,71,70,68
000057,47,45,42,38,34,30
000058,72,57,44,34,26,19
000059,21,5,1,0,0,0
000060,49,36,26,19,13,9
000061,133,129,123,115,106,96
000062,50,58,66,74,81,88
000063,141,134,125,115,104,93
000064,65,75,85,95,104,112
000065,59,54,49,44,39,34
000066,52,43,35,28,22,17
000067,96,107,117,126,134,140
000068,83,77,70,63,56,49
000069,94,112,131,151,171,191
000070,67,60,53,46,39,33
000071,38,32,27,22,18,14
000072,76,69,62,55,48,41
000073,88,90,90,89,86,82
000074,75,79,82,83,83,82
000075,43,36,30,24,19,15
000076,79,93,107,121,135,148
000077,65,62,58,53,48,43
000078,44,50,56,61,66,70
000079,70,78,86,93,99,104
000080,112,120,126,130,132,132
000081,84,95,106,116,125,133
000082,105,113,120,125,128,129
000083,80,75,69,62,55,48
000084,93,117,144,175,209,246
000085,56,53,49,45,40,35
000086,74,63,52,42,34,27
000087,78,87,96,104,111,116
000088,77,78,78,77,74,70
000089,49,38,29,22,16,12
000090,62,49,38,29,22,16
000091,87,90,92,92,91,89
000092,130,120,109,97,85,73
000093,83,84,83,81,78,74
000094,99,96,91,85,78,71
000095,74,67,59,51,44,37
000096,69,64,59,53,47,41
000097,58,51,44,37,31,25
000098,76,81,85,88,89,89
000099,30,23,18,14,10,7
000100,46,41,36,31,27,23
000101,69,71,71,70,68,65
000102,115,99,84,70,58,47
000103,133,127,119,110,100,89
000104,33,24,17,12,8,6
000105,63,65,66,66,65,63
000106,55,56,56,55,53,50
000107,80,82,82,81,79,76
000108,80,87,93,97,100,101
000109,59,58,56,53,49,45
000110,55,57,58,58,57,55
000111,127,145,163,180,196,210
000112,79,77,74,70,65,60
000113,74,54,39,28,20,14
000114,91,101,110,118,125,130
000115,62,53,45,37,30,24
000116,71,60,50,41,33,26
000117,82,78,73,67,61,54
000118,147,157,165,170,173,173
000119,40,44,47,50,52,53
000120,49,48,46,44,41,38
000121,42,35,28,22,17,13
000122,72,74,75,74,72,69
000123,83,98,114,130,146,161
000124,93,88,82,75,67,59
000125,43,43,42,40,38,35
000126,76,71,65,59,52,45
000127,71,71,69,66,63,59
000128,103,84,67,53,41,31
000129,78,73,67,61,54,47
000130,51,46,41,36,31,26
000131,187,178,167,154,140,125
000132,174,148,124,102,83,66
000133,146,176,209,244,280,317
000134,73,59,47,37,29,22
000135,113,99,85,72,60,49
000136,118,104,90,76,63,52
000137,28,29,29,29,28,27
000138,90,100,109,117,124,129
000139,24,21,18,15,12,10
000140,156,159,159,157,152,145
000141,84,100,116,133,150,167
000142,58,56,53,49,45,41
000143,82,98,115,132,150,167
000144,39,33,27,22,17,13
000145,106,91,77,64,52,42
000146,76,62,49,38,29,22
000147,74,71,67,62,57,51
000148,91,91,90,87,83,78
000149,153,191,234,282,335,392
000150,73,53,38,27,19,13
000151,79,91,103,115,126,136
000152,76,72,67,61,55,49
000153,41,33,26,20,15,11
000154,86,110,138,171,208,249
000155,102,96,89,81,72,63
000156,52,50,47,43,39,35
000157,54,67,81,97,114,132
000158,57,57,56,55,53,50
000159,80,79,76,72,67,62
000160,110,128,146,164,181,197
000161,72,65,58,51,44,37
000162,42,42,41,39,37,34
000163,90,94,97,98,98,96
000164,107,91,76,62,50,40
000165,55,49,43,37,31,26
000166,54,52,49,46,42,38
000167,44,34,26,19,14,10
