fold,seq_id,binary_label,pred_probability
1,253,1,0.5003382381875998
1,338,1,0.5196614818058077
1,653,1,0.5087850741474781
1,1331,1,0.5002506783549555
1,1523,1,0.5002862811771184
1,1845,1,0.5180650354709317
1,1959,1,0.5281437262762071
1,2090,1,0.5104334874740561
1,2268,1,0.50872285799709
1,2416,1,0.500305490146753
1,2463,1,0.5016735849182237
1,2482,1,0.5003592725888042
1,2516,1,0.5005964061042655
1,2574,1,0.501605828734337
1,2984,1,0.5005680222381336
1,3089,1,0.5006748401081207
1,3507,1,0.5007582086186511
1,3591,1,0.5000577676842294
1,4322,1,0.502009824092154
1,4463,1,0.5139993380904659
1,5211,1,0.5009442115241738
1,5217,1,0.5009446548685298
1,5294,1,0.500411270298552
1,6234,1,0.5559661859949077
1,6792,1,0.5002808561747266
1,7048,1,0.5020231724036847
1,7078,1,0.5003261919518437
1,7793,1,0.5189232898972929
1,7821,1,0.5040822843141372
1,8116,1,0.5290253656537607
1,8279,1,0.5422444318885936
1,8283,1,0.5099373395828356
1,8558,1,0.5010761568837744
1,8622,1,0.502788590415616
1,8911,1,0.5003662242389612
1,8928,1,0.5010480414933322
1,9100,1,0.5540226326574252
1,9200,1,0.5006725588089713
1,9246,1,0.5003932909524368
1,9278,1,0.5008252483740084
1,9699,1,0.5000641179501555
1,10005,1,0.5018586226910244
1,10039,1,0.5006614893251569
1,10122,1,0.5075661585623689
1,10226,1,0.5005537471830847
1,10952,1,0.501380898557132
1,11090,1,0.5005930050565373
1,11885,1,0.5007102326178454
1,4,0,0.5020471025745198
1,14,0,0.5005659131389628
1,16,0,0.5001678608886544
1,30,0,0.5011402342646674
1,34,0,0.5030818882474983
1,38,0,0.5017282238435866
1,45,0,0.5005666091584208
1,48,0,0.5001497131814767
1,50,0,0.5004231341348969
1,68,0,0.5000942924964566
1,78,0,0.501350095358788
1,81,0,0.5008954979164213
1,87,0,0.5005097078355047
1,88,0,0.5062381681904405
1,99,0,0.5067144546438778
1,104,0,0.5001676253841856
1,109,0,0.5070358193970596
1,110,0,0.5017779031935027
1,111,0,0.5002669206435255
1,124,0,0.5022579983047957
1,131,0,0.5007264021284499
1,141,0,0.5013211047315997
1,149,0,0.502162012552983
1,155,0,0.5000841029267813
1,156,0,0.5015494442203613
1,157,0,0.5003268834132132
1,163,0,0.5009930178191293
1,165,0,0.5004031791539285
1,166,0,0.5000920713742046
1,167,0,0.5021715685682585
1,175,0,0.502057671956058
1,176,0,0.500404481049131
1,180,0,0.5003342971755397
1,182,0,0.500162216775951
1,192,0,0.5001701167322089
1,204,0,0.5015109964963664
1,210,0,0.5007877655371857
1,220,0,0.5001409006470756
1,221,0,0.5052761116240906
1,232,0,0.5005196240411931
