seq_id,binary_label,pred_probability
24,1,5.0423573e-06
56,1,0.9027275
70,1,0.010098539
123,1,0.18088497
198,1,0.0002261696
293,1,0.15940478
298,1,0.032898054
376,1,0.03205867
431,1,0.09527069
432,1,0.0009688691
558,1,1.4449594e-05
589,1,0.998728
592,1,0.028333558
691,1,0.05806794
703,1,0.123192005
727,1,0.0012328605
743,1,0.13725306
752,1,0.13616504
764,1,0.0014968514
765,1,0.00028649715
809,1,0.00059987366
834,1,0.29495645
835,1,0.2767748
870,1,0.0011617739
872,1,0.65934604
907,1,0.00015479363
1015,1,0.35923696
1123,1,2.9433555e-05
1125,1,0.03183435
1158,1,0.8987106
1176,1,0.00011037452
1267,1,0.004308103
1299,1,0.014001626
1350,1,0.0066723153
1380,1,0.55143327
1387,1,0.070151985
1408,1,0.0023777178
1437,1,0.00018784415
1451,1,0.040786464
1456,1,0.051390223
1492,1,0.396101
1715,1,0.021764286
1750,1,0.0012909626
1753,1,6.429716e-05
1874,1,0.00026227534
1951,1,0.0008264056
1972,1,0.16717845
1990,1,0.0031045822
2020,1,0.15904322
2035,1,0.04133094
2046,1,0.0023664369
2145,1,0.001274892
2158,1,0.0006102241
2159,1,0.0030924398
2169,1,0.37070754
2199,1,0.034698974
2225,1,0.0013202407
2303,1,0.002056754
2336,1,0.009591538
2337,1,0.21128476
2345,1,0.093442425
2398,1,0.0056284848
2469,1,0.001698626
2500,1,0.013647512
2563,1,0.061959796
2565,1,0.065536134
2631,1,0.5383287
2699,1,0.24953577
2721,1,1.9747608e-06
2851,1,0.00056021794
2957,1,0.0035155702
2978,1,0.110517636
3056,1,0.006942158
3077,1,9.744017e-05
3104,1,0.072219625
3109,1,0.1765537
3168,1,7.961438e-05
3180,1,0.005077305
3270,1,0.88605756
3325,1,0.000112737274
3420,1,0.19961381
3530,1,0.0331268
3537,1,0.004091791
3582,1,0.0008691094
3935,1,0.00480529
3959,1,0.054776236
3974,1,0.028810814
4020,1,0.08768842
4087,1,0.0048517874
4189,1,0.003838711
4301,1,0.3029211
4341,1,0.00048051265
4456,1,0.0060811066
4501,1,0.0021920467
4506,1,0.0006659625
4556,1,0.03436883
4600,1,0.112526774
4742,1,0.7835903
4812,1,0.7415745
4823,1,0.3293213
4826,1,0.00082747336
4855,1,0.0656672
4880,1,0.0005411583
4890,1,0.010999275
4930,1,0.19265014
4934,1,0.027347263
5039,1,0.54025066
5091,1,0.00025697876
5093,1,0.3236359
5095,1,0.050137606
5098,1,0.00048354868
5171,1,0.001053774
5335,1,0.020608662
5365,1,0.022908393
5373,1,0.07790572
5446,1,0.010146476
5457,1,0.15765576
5495,1,0.067076005
5534,1,0.0005580654
5548,1,0.0018686624
5618,1,0.00056778063
5623,1,0.18389663
5641,1,0.040580533
5716,1,6.290882e-05
5794,1,0.054715075
5806,1,4.316964e-06
5815,1,0.0014126941
5896,1,0.0009009784
5901,1,0.0019323013
5948,1,0.0044521526
6119,1,0.43468386
6143,1,0.0077561676
6159,1,0.119794324
6191,1,0.02749968
6291,1,0.023171272
6357,1,0.004398674
6409,1,0.00036991356
6430,1,0.86705816
6538,1,0.037151467
6561,1,0.049480043
6569,1,1.089476e-06
6580,1,0.0073902844
6622,1,0.5648282
6623,1,4.69079e-05
6666,1,0.00077250914
6679,1,0.00044217252
6686,1,0.9915822
6715,1,0.6766326
6768,1,0.5596572
6778,1,0.0018656612
6793,1,0.06708353
6796,1,0.035285313
6877,1,0.00024670802
6946,1,0.0002158508
7093,1,0.00029128257
7218,1,0.5824079
7634,1,0.0006684618
7636,1,0.0017930144
7645,1,0.035491414
7674,1,0.0022103072
7813,1,0.18726474
7852,1,0.000717217
7861,1,0.10700369
7891,1,0.00035908527
7900,1,0.00010592395
7903,1,1.0996263e-06
7963,1,0.23855177
8141,1,0.00034095976
8146,1,0.96017873
8253,1,0.079322994
8293,1,0.00059621315
8335,1,0.0052133184
8345,1,0.016678039
8392,1,0.001859192
8497,1,0.00033428817
8498,1,0.003996879
8580,1,0.00027453975
8612,1,0.051628303
8614,1,0.018953966
8683,1,0.83750343
8705,1,0.00012072927
8824,1,0.00020214177
8850,1,0.20984745
8957,1,0.00011976052
9007,1,0.0058338377
9128,1,0.0031166864
9163,1,0.004643479
9198,1,0.043559287
9296,1,0.53048205
9300,1,0.0014220962
9316,1,0.13364705
9332,1,0.044036552
9362,1,0.28913778
9395,1,0.00030148143
9466,1,0.009440146
9591,1,5.051256e-05
9637,1,0.013684303
9691,1,0.07617543
9697,1,5.587528e-05
9907,1,0.021495856
9953,1,0.044221096
9954,1,0.4729724
9970,1,0.04354472
9972,1,0.010341745
9978,1,0.1063343
9982,1,0.4525727
9992,1,1.0426232e-05
10052,1,0.00015049263
10213,1,0.0017228427
10222,1,0.0002545017
10229,1,0.0032268264
10305,1,0.09868223
10306,1,0.00015820765
10361,1,6.068351e-05
10369,1,0.14924479
10397,1,0.0021291138
10432,1,0.015214955
10467,1,0.09243157
10490,1,0.0063582393
10523,1,4.581175e-06
10536,1,8.4280065e-05
10929,1,0.0073332153
10944,1,0.03592967
11014,1,0.0013024359
11111,1,0.9951315
11139,1,5.222412e-05
11209,1,0.00032002907
11257,1,0.00026522018
11287,1,0.3226717
11493,1,0.3550292
11580,1,0.11112501
11637,1,0.0003172743
11691,1,0.004547083
11693,1,0.5452833
11761,1,0.022041261
11771,1,0.024197903
11870,1,0.043701034
11896,1,0.001285693
11950,1,0.9522539
11987,1,0.05474969
0,0,5.6450972e-05
1,0,0.00010122323
2,0,0.005181244
3,0,1.7731632e-05
4,0,0.00014209977
5,0,0.0011162439
6,0,4.2145766e-05
7,0,0.0017227016
8,0,0.00016857478
9,0,0.00013840261
10,0,6.382688e-05
11,0,1.5150832e-06
12,0,4.3498865e-05
13,0,0.0042443713
14,0,0.019075364
15,0,0.00072768657
16,0,0.0047196904
17,0,0.011521848
18,0,0.009595544
19,0,0.00011564498
20,0,0.001485914
21,0,0.00049160706
22,0,0.00015198694
23,0,0.0012980148
25,0,0.0004792086
26,0,7.5246484e-05
27,0,9.920419e-06
28,0,0.00024134414
29,0,9.945387e-07
30,0,0.008441264
31,0,0.0010236781
32,0,1.4061871e-05
33,0,1.328899e-06
34,0,4.038214e-05
35,0,0.00628242
36,0,0.005815059
37,0,0.0005493373
38,0,9.758709e-05
39,0,0.011763189
40,0,1.4714574e-05
41,0,0.00010338339
42,0,1.1166042e-05
43,0,0.0021642065
44,0,2.1274514e-05
45,0,0.0009712207
46,0,3.936997e-06
47,0,0.00046187875
48,0,0.0004374841
49,0,0.00010782107
50,0,0.010559707
51,0,1.7205448e-05
52,0,0.00048842083
53,0,0.00010186114
54,0,0.0012856948
55,0,0.019618612
57,0,0.024508104
58,0,5.518284e-06
59,0,2.400892e-05
60,0,0.00090657437
61,0,5.2415715e-05
62,0,2.3617868e-05
63,0,0.004291147
64,0,0.0065520466
65,0,0.00032166677
66,0,4.3508113e-05
67,0,0.0020329366
68,0,0.0006773023
69,0,0.0023250554
71,0,0.0005041478
72,0,0.0003608612
73,0,0.0031258021
74,0,2.2849583e-05
75,0,0.00010984461
76,0,0.0020643736
77,0,0.003797449
78,0,0.00032463172
79,0,0.00029683454
80,0,0.0031629212
81,0,0.00019961623
82,0,1.2760028e-05
83,0,0.066037245
84,0,2.8894101e-05
85,0,0.00010211108
86,0,0.0017565582
87,0,4.481054e-05
88,0,0.00025399626
89,0,0.00024077162
90,0,0.017873606
91,0,0.00029684982
92,0,0.042326342
93,0,0.000105543026
94,0,0.017931111
95,0,0.00041232124
96,0,2.5719346e-06
97,0,0.37966606
98,0,2.8591874e-05
99,0,1.8804168e-06
100,0,0.00046118055
101,0,7.418227e-05
102,0,6.165213e-05
103,0,0.00042523205
104,0,0.025752129
105,0,0.015348642
106,0,0.0018159999
107,0,0.0031880855
108,0,5.1347484e-07
109,0,0.08437085
110,0,1.2817166e-05
111,0,0.060968217
112,0,0.025082186
113,0,5.3800115e-05
114,0,0.00016617928
115,0,6.520002e-07
116,0,0.00051398244
117,0,2.63097e-05
118,0,0.0005775047
119,0,0.00043515014
120,0,1.1486053e-06
121,0,0.0017515202
122,0,0.00014426744
124,0,0.007278051
125,0,0.00030242626
126,0,1.9171195e-05
127,0,3.0071822e-05
128,0,0.00019859015
129,0,1.7484841e-05
130,0,0.12389397
131,0,0.0064919717
132,0,0.0014004856
133,0,0.052056573
134,0,0.00019056918
135,0,0.004150061
136,0,0.02663512
137,0,0.0036334153
138,0,0.011109124
139,0,2.5600646e-05
140,0,2.4797848e-06
141,0,0.00011786175
142,0,1.4219271e-05
143,0,0.00030379716
144,0,0.0030885818
145,0,2.9785837e-05
146,0,0.041572414
147,0,0.0045151454
148,0,0.0016889216
149,0,0.00037979835
150,0,0.00091238203
151,0,0.0001431199
152,0,0.0018842663
153,0,4.4927907e-05
154,0,0.0021781405
155,0,0.0027577665
156,0,0.0010514876
157,0,0.0054426813
158,0,0.00011784725
159,0,3.026322e-06
160,0,0.030227354
161,0,0.005840152
162,0,0.013981279
163,0,0.000135489
164,0,5.1946372e-05
165,0,0.00023726786
166,0,0.00020772696
167,0,0.0008465153
168,0,0.001912086
169,0,0.0022540896
170,0,1.1634018e-05
171,0,2.1176108e-06
172,0,0.00018856772
173,0,0.002448201
174,0,1.5972385e-09
175,0,2.648429e-06
176,0,0.00085233146
177,0,7.378409e-05
178,0,0.00071154285
179,0,0.0013475809
180,0,0.00046344724
181,0,0.0003469566
182,0,0.0014489327
183,0,0.022720123
184,0,0.028972847
185,0,0.008388827
186,0,0.04225279
187,0,0.0003348987
188,0,8.2076025e-05
189,0,0.002104406
190,0,0.00012056971
191,0,0.008675887
192,0,0.010419144
193,0,0.25754836
194,0,0.00036764634
195,0,0.015835535
196,0,0.00010183093
197,0,0.00041286697
199,0,0.00016900901
200,0,5.964843e-05
201,0,0.010721023
202,0,0.017097069
203,0,1.087477e-05
204,0,0.002069107
205,0,0.0008561592
206,0,0.0022561122
207,0,3.2774212e-06
208,0,5.7399637e-05
209,0,2.6338446e-05
210,0,7.1962306e-05
211,0,0.0003760013
212,0,0.000463239
213,0,0.0003048338
214,0,1.275327e-06
215,0,0.001148284
216,0,0.03445518
217,0,7.649727e-05
218,0,0.0006117247
219,0,0.017541248
220,0,0.00042771176
221,0,0.0030928748
222,0,0.0003674014
223,0,0.018202709
224,0,0.0008103353
225,0,0.0043188934
226,0,0.003731614
227,0,0.00039432727
228,0,0.0017007516
229,0,0.0005384458
230,0,0.0033059523
231,0,1.686786e-05
232,0,0.00037426737
233,0,0.3548538
234,0,7.249756e-05
235,0,0.0026967097
236,0,0.021647178
237,0,0.00094310014
238,0,0.049601067
239,0,0.0002333311
240,0,0.05028286
241,0,0.002416067
242,0,0.0008061708
243,0,0.0018034144
244,0,0.007387473
245,0,0.00020663002
246,0,4.8178666e-05
247,0,8.801625e-05
248,0,0.0017136697
249,0,1.9809117e-06
250,0,0.00047633855
251,0,0.0009744184
252,0,0.00016229152
253,0,0.05215609
254,0,0.0013031902
255,0,0.00065563695
256,0,7.816505e-05
257,0,0.019218123
258,0,0.0006845669
259,0,0.004693369
260,0,4.930397e-05
261,0,4.483459e-06
262,0,0.0002790587
263,0,8.353261e-06
264,0,0.0205468
265,0,0.00015885191
266,0,9.453669e-05
267,0,0.0028470708
268,0,1.0979561e-05
269,0,0.022154365
270,0,0.0010400238
271,0,9.231156e-05
272,0,0.00015576581
273,0,0.00018967998
274,0,2.7001599e-05
275,0,1.4454228e-06
276,0,0.01977981
277,0,8.6990505e-05
278,0,0.00062303816
279,0,0.000119579076
280,0,8.351101e-05
281,0,0.00092647306
282,0,2.219251e-05
283,0,0.0017363102
