seq_id,binary_label,pred_probability
5,1,0.9737519
26,1,0.67343587
120,1,0.006708376
172,1,0.07226357
183,1,0.8489356
253,1,0.00015830302
265,1,0.03257296
338,1,0.87455386
386,1,0.00028448188
468,1,0.00044030082
501,1,0.24899377
623,1,4.4920403e-06
635,1,0.0013035845
653,1,0.027794406
658,1,0.57421714
666,1,0.99361753
1024,1,0.009993637
1025,1,0.0015725093
1044,1,0.0010312541
1216,1,0.030928854
1324,1,0.020032473
1327,1,0.5140775
1331,1,0.00965344
1377,1,0.0006824226
1397,1,0.14227653
1405,1,0.030238295
1466,1,0.00047924582
1516,1,0.81193113
1523,1,0.043316558
1569,1,0.011418872
1583,1,0.00010986756
1590,1,0.0031500224
1592,1,0.0694015
1713,1,0.0021184727
1733,1,0.07122064
1845,1,0.3922977
1959,1,0.7445945
2090,1,0.08842017
2254,1,0.28728113
2262,1,0.69449407
2268,1,0.0009492709
2314,1,0.07531247
2364,1,0.24679397
2416,1,0.0020806012
2438,1,0.00033586303
2463,1,0.00011238628
2482,1,0.16951838
2516,1,0.021122588
2574,1,0.21076456
2651,1,0.00070331123
2722,1,0.0020612306
2761,1,0.72597265
2787,1,0.063654825
2865,1,0.04263916
2913,1,0.04164993
2984,1,0.007973608
3089,1,0.0079309605
3180,1,0.00081198127
3441,1,0.4311134
3447,1,0.020621404
3449,1,0.57999325
3478,1,0.48246613
3507,1,0.1538009
3525,1,0.021648237
3535,1,0.11391696
3591,1,0.0014044824
3606,1,0.0011316238
3615,1,0.0023741901
3697,1,0.00033075287
3707,1,0.0008154845
3752,1,0.0031892434
3857,1,0.03665463
3975,1,0.0013746951
3977,1,0.009004654
3988,1,0.0245523
4092,1,0.56890506
4141,1,0.017994532
4290,1,0.008668336
4322,1,7.0475566e-05
4325,1,0.01785286
4463,1,0.060019337
4567,1,6.0062666e-06
4684,1,0.0017505983
4694,1,0.07376959
4718,1,3.2790333e-05
4758,1,0.41534722
4846,1,0.00053526857
4977,1,0.0008365756
5042,1,0.15497288
5172,1,0.00029004828
5186,1,0.0047413055
5211,1,0.6081395
5217,1,0.08854285
5294,1,0.06213536
5295,1,0.02084057
5356,1,0.00031716086
5482,1,0.031135147
5488,1,0.004453195
5496,1,1.6404216e-05
5514,1,0.0010506209
5532,1,0.00060247787
5590,1,0.00017109615
5618,1,0.12802404
5623,1,0.0005231258
5658,1,7.057053e-06
5689,1,6.877769e-05
5691,1,0.13775088
5790,1,0.19568901
5845,1,0.036235407
5849,1,0.08703427
5958,1,0.0011712868
6032,1,0.001638038
6114,1,0.0003935803
6126,1,0.8955291
6195,1,0.16016498
6200,1,0.52536076
6223,1,0.117017284
6234,1,0.86012876
6245,1,0.0005704035
6284,1,0.02118583
6390,1,0.67035675
6416,1,0.038207673
6557,1,0.009181201
6637,1,0.010718277
6640,1,0.004479664
6662,1,0.9313746
6675,1,0.07597377
6691,1,0.4210449
6710,1,0.0071845003
6792,1,0.8310573
6924,1,0.009418247
6994,1,0.0018459731
7048,1,3.6254803e-06
7051,1,0.024653835
7077,1,0.048952296
7078,1,0.015404311
7100,1,0.43903434
7180,1,0.0071752374
7241,1,0.010011562
7281,1,0.0032601974
7344,1,0.019213136
7366,1,0.08348511
7384,1,0.35135698
7521,1,0.015306002
7793,1,0.38283694
7818,1,0.03393144
7821,1,0.0033579983
7861,1,0.0007460901
7877,1,0.00037102995
7915,1,0.0046966174
7922,1,0.3717975
8068,1,0.05128129
8095,1,0.00046436067
8116,1,0.16280034
8161,1,0.0015169256
8172,1,8.948772e-05
8210,1,2.8646282e-06
8228,1,1.7376493e-05
8239,1,0.062020794
8249,1,0.00090501615
8279,1,0.035722222
8283,1,0.0027172589
8301,1,0.00016779828
8322,1,0.9412706
8339,1,0.0829995
8383,1,0.008471265
8395,1,0.0045445003
8425,1,0.0009846424
8544,1,0.1237092
8558,1,0.00071956386
8612,1,0.0058051487
8622,1,0.15255044
8651,1,0.05369001
8688,1,2.8648727e-05
8713,1,0.11334192
8781,1,0.031210104
8792,1,0.011134675
8836,1,0.001101937
8854,1,0.026605466
8899,1,0.013667605
8911,1,0.7482768
8928,1,0.01379539
8952,1,0.13477316
9030,1,0.012863663
9039,1,0.0010777608
9067,1,0.00037144244
9100,1,0.0093742395
9101,1,0.8582372
9200,1,0.013738087
9246,1,0.00012258583
9278,1,0.011648058
9379,1,0.025070013
9445,1,0.055349953
9489,1,0.021180376
9512,1,0.16197957
9515,1,9.642655e-05
9699,1,0.7172266
9728,1,0.003943659
9742,1,0.012444543
9755,1,0.0072850212
9922,1,0.85326284
10005,1,0.14220788
10019,1,0.017699204
10037,1,0.0001550826
10039,1,5.1759456e-05
10076,1,0.023543647
10122,1,0.9098343
10181,1,0.0006004863
10190,1,0.004658788
10226,1,0.006680534
10300,1,0.00016934244
10325,1,0.00032938342
10515,1,0.037889365
10619,1,0.011965776
10620,1,0.0013860547
10636,1,0.051111046
10705,1,0.963328
10707,1,0.3869881
10724,1,0.13605304
10726,1,0.7361276
10770,1,0.18135306
10849,1,0.006192063
10907,1,0.004510439
10952,1,0.3061526
10995,1,0.12142528
11090,1,0.0010314137
11128,1,0.005148127
11339,1,0.002203238
11387,1,0.10227379
11599,1,0.19658992
11629,1,2.9955583e-05
