fold,seq_id,binary_label,pred_probability
1,293,1,0.500724306065434
1,376,1,0.5048003940620037
1,691,1,0.5016690507260759
1,835,1,0.5844755810743743
1,1125,1,0.507596524940828
1,1387,1,0.5046149911721804
1,1408,1,0.504950577563886
1,1437,1,0.5050794823660755
1,1492,1,0.5006230414417177
1,1753,1,0.508648120928932
1,1951,1,0.5066289500683299
1,1972,1,0.5001929156223334
1,1990,1,0.5014370585194832
1,2020,1,0.500229757797444
1,2199,1,0.5004513513481269
1,2225,1,0.5003150844142984
1,2469,1,0.5097695884093002
1,2565,1,0.5032793611361016
1,3270,1,0.5277160129851823
1,3420,1,0.5003659878314419
1,4341,1,0.5005812468702898
1,4456,1,0.5003842115908688
1,4501,1,0.5024110896743788
1,5495,1,0.50968890265666
1,5948,1,0.501868910753794
1,6159,1,0.5000806645486774
1,6357,1,0.5003322776233377
1,6666,1,0.5005694430391022
1,6686,1,0.5015232971647218
1,6946,1,0.5013490320856053
1,7813,1,0.5112337575526442
1,7852,1,0.501511239765799
1,8253,1,0.5002673562897667
1,8335,1,0.5048267576591806
1,8705,1,0.5001544298873686
1,8824,1,0.5002108878272875
1,9163,1,0.5001330124758927
1,9296,1,0.5040767020294726
1,9300,1,0.5010571410436665
1,9316,1,0.5005937755064671
1,9637,1,0.5008447111284405
1,9954,1,0.5015197278695958
1,9978,1,0.5000806645486774
1,9992,1,0.5805563323914341
1,10222,1,0.5007614222759061
1,11014,1,0.5030188474375704
1,11139,1,0.5029830780660277
1,11987,1,0.5015434054583555
1,12,0,0.5004517324554629
1,13,0,0.5000806645486774
1,28,0,0.5000912144684444
1,30,0,0.500853916594385
1,31,0,0.501414561603624
1,33,0,0.5150295334105007
1,37,0,0.5000806645486774
1,44,0,0.5003068766117514
1,47,0,0.5004617446791111
1,58,0,0.5004572731159163
1,63,0,0.5012454014936586
1,82,0,0.5001409507408057
1,88,0,0.5005100882566907
1,95,0,0.5032420310746725
1,102,0,0.5008322497714451
1,105,0,0.5002646485216546
1,111,0,0.5002746710411379
1,113,0,0.5008373674000252
1,119,0,0.5001183748439004
1,122,0,0.5039421493941914
1,124,0,0.500698672180751
1,125,0,0.5002821146157507
1,126,0,0.5003406244532358
1,128,0,0.5004062301546238
1,130,0,0.5007722580383882
1,132,0,0.5003520221115506
1,138,0,0.5001121109958181
1,150,0,0.5000904671704507
1,154,0,0.5003378035078572
1,158,0,0.5008068436984305
1,166,0,0.5047337110441403
1,168,0,0.5006910371119238
1,173,0,0.500192461067533
1,175,0,0.5169098550533432
1,176,0,0.500808763703413
1,182,0,0.5011903711032648
1,188,0,0.5016765959370232
1,191,0,0.5053078624219105
1,197,0,0.5000927542286687
1,204,0,0.5001175739741506
1,219,0,0.5001795409483872
1,221,0,0.5004034862576866
1,231,0,0.5000906841072223
1,242,0,0.500273546242767
1,249,0,0.5001622885581198
1,252,0,0.500279499441938
1,256,0,0.5003412876534439
1,258,0,0.5001273798935382
1,267,0,0.5010524672315391
1,271,0,0.5013342588801089
1,275,0,0.50046445274156
1,279,0,0.5009341283789751
1,280,0,0.500145760818991
1,282,0,0.5002412356669955
1,283,0,0.5003050888825419
1,285,0,0.5001024116165167
1,288,0,0.5001319072299658
1,296,0,0.5002125378037178
1,299,0,0.5000806645486774
1,319,0,0.5003420925160211
1,321,0,0.5000912638840314
1,322,0,0.5002986406777657
1,325,0,0.5001654374228528
1,343,0,0.500090027669209
1,345,0,0.5109978733084246
1,346,0,0.500307408296506
1,354,0,0.5002513456344556
1,355,0,0.5001283027493211
1,357,0,0.5015898307054864
1,362,0,0.5051403162246018
1,364,0,0.5001646016958263
1,381,0,0.5000806645486774
1,383,0,0.5005004854210581
1,386,0,0.5020498356217744
1,412,0,0.5014954071722079
1,413,0,0.5003075855738309
1,415,0,0.5001240230683167
1,422,0,0.5002414134836
1,424,0,0.5002309799356867
1,426,0,0.5145977136159637
1,429,0,0.5002025802669151
1,433,0,0.5018614539525476
1,440,0,0.5004873230950563
1,449,0,0.5318528645824003
1,451,0,0.5007044436939766
1,452,0,0.5003160944118907
1,455,0,0.5001017529304994
1,469,0,0.5121486708313884
1,475,0,0.5006245086368435
1,477,0,0.5076796643423471
1,480,0,0.5002918523379855
1,505,0,0.5028696868914299
1,510,0,0.5001376036991638
1,512,0,0.5005299170540075
1,513,0,0.5025811653420432
1,518,0,0.5009293001957966
1,524,0,0.503154051684353
1,525,0,0.5032951118313993
1,528,0,0.5003090772520766
1,552,0,0.5013709368313707
1,559,0,0.5000896148735002
1,562,0,0.5002876178869929
1,563,0,0.5103768829075992
1,567,0,0.5000806645486774
1,568,0,0.5000806645486774
1,573,0,0.5005288595990715
1,575,0,0.5001420278980829
1,577,0,0.5006892948922164
1,582,0,0.5001289728080464
1,588,0,0.5000904417442252
1,593,0,0.5005102645741986
1,605,0,0.500552014104386
1,613,0,0.5008691770958886
1,620,0,0.5012651141238219
1,621,0,0.5003627426339148
1,623,0,0.5008992664673013
1,625,0,0.5009163248721694
1,629,0,0.5003465302891886
1,637,0,0.5063595493163293
1,641,0,0.5007810235961535
1,646,0,0.5007094202789066
1,648,0,0.5003664909630529
1,653,0,0.5000806645486774
1,657,0,0.5002032919048065
1,658,0,0.5004945718962519
1,663,0,0.5012131718820158
1,670,0,0.5015643290476045
1,695,0,0.5005152344609437
1,696,0,0.5004469659696935
1,702,0,0.5011983219281474
1,711,0,0.5001019973271202
1,712,0,0.5000917935840308
1,715,0,0.5001542669234857
1,718,0,0.5010950029740623
1,723,0,0.5007201662965907
1,725,0,0.5018592482591604
1,726,0,0.5002047719364473
1,728,0,0.5035948658686896
1,732,0,0.5011641457967491
1,736,0,0.5000806645486774
1,744,0,0.5001605667677296
1,748,0,0.5001966214440943
1,757,0,0.5006687972036411
1,759,0,0.5076019688620442
1,760,0,0.500278700163545
1,766,0,0.5005756078739362
1,767,0,0.5005295116740319
1,770,0,0.500153769609373
1,772,0,0.5007784117787564
1,774,0,0.5001574394638663
1,779,0,0.5001439936218068
1,781,0,0.5002553120481502
1,784,0,0.5082799028343018
1,786,0,0.5009412937509566
1,793,0,0.5040908441303166
1,794,0,0.5018392680956043
1,798,0,0.5018799517290552
1,799,0,0.5004701169786758
1,802,0,0.5016450841404121
1,812,0,0.5009197337952493
1,813,0,0.5010910738243253
1,817,0,0.5000938494217065
1,821,0,0.5002208452479108
1,824,0,0.5017655774699117
1,841,0,0.5045340853587045
1,843,0,0.5018935779379067
1,844,0,0.5001135161648844
1,850,0,0.5005074486732727
1,851,0,0.5013247109981253
1,852,0,0.5001490985166661
1,855,0,0.5020514687175077
1,857,0,0.5001478601618732
1,859,0,0.5003550701271349
1,862,0,0.5000906841072223
1,873,0,0.5002286291630558
1,877,0,0.5004814722367481
1,879,0,0.5010594132824528
1,880,0,0.500308528952893
1,890,0,0.5003655686398403
1,894,0,0.5205143632030458
1,900,0,0.5008540461509566
1,901,0,0.5002690210530107
1,916,0,0.5016297433609417
1,928,0,0.500819585788462
1,930,0,0.5030652575553896
1,931,0,0.5068111482240242
1,934,0,0.5001415732050591
1,935,0,0.5000806645486774
1,953,0,0.5087103399649531
1,960,0,0.5002815434862323
1,964,0,0.5006392459612462
1,970,0,0.5002801511567669
1,971,0,0.500341734650654
1,976,0,0.5000806645486774
1,978,0,0.5111394112636584
1,983,0,0.5001726300147903
1,987,0,0.5000806645486774
1,995,0,0.5001041812691882
1,997,0,0.5000806645486774
1,1000,0,0.501570721500513
1,1008,0,0.5035593924280879
1,1010,0,0.5009448220349968
1,1011,0,0.5040298872821356
1,1014,0,0.5003011810858258
1,1018,0,0.5007140832087298
1,1023,0,0.5007370464534163
1,1033,0,0.500406372368653
1,1036,0,0.5001896990807843
1,1044,0,0.5002674912964196
1,1054,0,0.5002320850601131
1,1055,0,0.5038899509089048
1,1060,0,0.5001186656153059
1,1064,0,0.5000806645486774
1,1068,0,0.5000806645486774
1,1069,0,0.5005764371232239
1,1070,0,0.5016249100252934
1,1073,0,0.5001028400823705
1,1079,0,0.5073269862522307
1,1080,0,0.5008315993938309
1,1081,0,0.503466970927031
1,1082,0,0.5014592433723923
1,1087,0,0.5002946424142115
1,1094,0,0.5027501658569492
1,1095,0,0.5003476354536548
1,1099,0,0.5067786655434374
1,1106,0,0.5000806645486774
