#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GCfix_000952	0.45495	0.195038	0.00000	0.000000	2340	0	2350	195892
GCfix_000188	0.20667	0.114886	0.00000	0.000000	1063	0	1064	115036
GCall_007731	0.19909	0.110418	0.00000	0.000000	1024	0	1026	110718
GCall_004481	0.19870	0.110408	0.00000	0.000000	1022	0	1028	111242
GCall_007723	0.19656	0.110489	0.00000	0.000000	1011	0	1021	111902
GCfix_010893	0.19384	0.107616	0.00000	0.000000	997	0	1000	107976
GCfix_006745	0.19365	0.108294	0.00000	0.000000	996	0	1002	109164
GCall_010977	0.19306	0.107586	0.00000	0.000000	993	0	996	108036
GCfix_010341	0.19015	0.105864	0.00000	0.000000	978	0	982	106398
GCall_008247	0.19015	0.106098	0.00000	0.000000	978	0	986	107198
GCall_008070	0.18762	0.104638	0.00000	0.000000	965	0	976	106174
GCall_004122	0.18626	0.103430	0.00000	0.000000	958	0	962	104030
GCall_003884	0.18626	0.103728	0.00000	0.000000	958	0	958	103728
GCfix_011728	0.18587	0.103095	0.00000	0.000000	956	0	962	103724
GCfix_004773	0.18451	0.102953	0.00000	0.000000	949	0	954	103628
GCfix_007747	0.18256	0.101834	0.00000	0.000000	939	0	944	102392
GCfix_003352	0.18237	0.101246	0.00000	0.000000	938	0	940	101488
GCall_009388	0.18101	0.100779	0.00000	0.000000	931	0	934	101120
GCfix_006134	0.17945	0.099704	0.00000	0.000000	923	0	926	100056
GCall_004064	0.17829	0.098972	0.00000	0.000000	917	0	918	99122
GCfix_009248	0.17751	0.098396	0.00000	0.000000	913	0	918	99088
GCall_000576	0.17595	0.097681	0.00000	0.000000	905	0	910	98368
GCfix_002804	0.17576	0.098194	0.00000	0.000000	904	0	908	98724
GCfix_008217	0.17556	0.097802	0.00000	0.000000	903	0	908	98510
GCfix_010983	0.17537	0.097314	0.00000	0.000000	902	0	906	97876
GCall_006134	0.17518	0.097458	0.00000	0.000000	901	0	904	97876
GCfix_000022	0.17498	0.097270	0.00000	0.000000	900	0	904	97800
