sample,exp,slope,intercept,R2,eff_exp
3m,Exp1,3.8757142857142846,5.56333333333334,0.9997882981968681,0.811410810983473
3m,Exp2,3.736857142857142,5.62266666666667,0.9997794402148936,0.851844674393684
3m,Exp3,4.017285714285713,4.915333333333335,0.9983463117540277,0.7738802216133251
5m,Exp1,4.030892857142859,1.5107142857142772,0.9994458486882094,0.7704513370168509
5m,Exp2,3.98107142857143,1.0192857142857064,0.9993531722216037,0.7831532137209232
5m,Exp3,3.8783928571428583,1.4521428571428496,0.9998910329275528,0.8106677178832884
no,Exp1,3.453392857142859,1.768571428571421,0.9998946118444,0.9479163296629389
no,Exp2,3.43607142857143,1.3735714285714222,0.9999256350766078,0.9544746344973571
no,Exp3,3.5339285714285733,1.3771428571428515,0.9997446598612449,0.9185414987106422
