seqid,ref_seqid,edit_distance,similarity,length,exp
FS10000169:122:BPA73120-0622:1:1101:4570:2410,004827,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:7430:2400,003761,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:7290:2580,000352,69,0.54,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:13620:2620,011308,70,0.5333333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:3040:2630,006007,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:6870:2700,006580,58,0.5042735042735043,117,PCR1
FS10000169:122:BPA73120-0622:1:1101:10350:2820,000385,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:14320:2800,001130,55,0.4907407407407407,108,PCR1
FS10000169:122:BPA73120-0622:1:1101:8090:3060,010618,50,0.5412844036697247,109,PCR1
FS10000169:122:BPA73120-0622:1:1101:6260:3070,001449,68,0.5466666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:10400:3080,009935,79,0.4733333333333334,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:15130:3030,008369,85,0.43333333333333335,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:1640:3200,010618,54,0.5,108,PCR1
FS10000169:122:BPA73120-0622:1:1101:14470:3160,001742,79,0.4733333333333334,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:3290:3280,006489,71,0.5266666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:5090:3260,006578,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:15790:3260,008991,81,0.45999999999999996,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:16270:3240,011569,72,0.52,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:15850:3300,009937,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:14420:3380,001634,70,0.5333333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:16280:3480,002448,71,0.5266666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:13480:3500,009182,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:15810:3420,004773,78,0.48,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:11200:3440,004008,80,0.4666666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:9840:3600,009420,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:14930:3680,006043,79,0.2685185185185185,29,PCR1
FS10000169:122:BPA73120-0622:1:1101:6430:3890,005787,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:16230:3860,007879,83,0.44666666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:4130:3970,005572,80,0.4666666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:7910:3910,009523,70,0.5333333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1101:2130:4000,001130,54,0.5,108,PCR1
FS10000169:122:BPA73120-0622:1:1101:15060:3980,006043,79,0.2685185185185185,29,PCR1
FS10000169:122:BPA73120-0622:1:1101:16150:3980,011517,62,0.4789915966386554,119,PCR1
FS10000169:122:BPA73120-0622:1:1102:2100:1080,008454,71,0.5266666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:14150:1060,004377,85,0.43333333333333335,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:7870:1070,003352,82,0.45333333333333337,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:7200:1120,001330,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:12240:1130,001510,57,0.5169491525423728,118,PCR1
FS10000169:122:BPA73120-0622:1:1102:15730:1140,004579,74,0.5066666666666666,150,PCR1
