Ct,sample,dilution
9.34978150709546,1,0
9.440801581826342,1,0
13.32242966172203,1,1
13.320205442796896,1,1
17.289016822537835,1,2
17.275746331786323,1,2
21.058080723880714,1,3
21.090429358700163,1,3
24.600496535627993,1,4
24.579703039876684,1,4
7.7247223157289255,2,0
7.684768927233302,2,0
11.758393945582451,2,1
11.772196028012925,2,1
15.562398413993071,2,2
15.598118512658159,2,2
19.168270420562553,2,3
19.219813207386046,2,3
23.792754287648656,2,4
23.72698885326046,2,4
8.926818453682012,3,0
8.86641013216351,3,0
13.015988589124364,3,1
13.047573371269458,3,1
16.894414259167906,3,2
16.879129467120805,3,2
21.015619237647243,3,3
20.973305029353494,3,3
24.796617464379306,3,4
24.809599345701404,3,4
7.952954603271521,4,0
7.943621325325949,4,0
11.799485630896104,4,1
11.822505396422196,4,1
15.897779098852649,4,2
15.822189067922137,4,2
19.340176226777043,4,3
19.337670328364847,4,3
23.078464197740495,4,4
23.145535023221104,4,4
