Ct,sample,dilution
9.795637505644224,1,1
9.886923431294063,1,1
13.668875473894085,1,2
13.574507706579086,1,2
17.239204794857017,1,3
17.20863050365539,1,3
20.75345075001836,1,4
20.72976836672199,1,4
24.299631401702907,1,5
24.253744846006477,1,5
7.573916871984718,2,1
7.525312323791283,2,1
11.241645597011747,2,2
11.225968482236754,2,2
14.624196290474227,2,3
14.717590087879215,2,3
18.264772326356603,2,4
18.188211645865916,2,4
21.745552542449236,2,5
21.72323991446753,2,5
9.914962967377747,3,1
9.999441513617304,3,1
15.581369546754644,3,2
15.50771771016471,3,2
20.02173574085036,3,3
20.010235204181583,3,3
24.07551413171513,3,4
23.99464144834356,3,4
27.67718820861933,3,5
27.823234470093755,3,5
7.721501644708527,4,1
7.726003116724993,4,1
11.326553096110263,4,2
11.333611146329797,4,2
15.16380840365969,4,3
14.859879414018991,4,3
18.27779542500912,4,4
18.26287891480345,4,4
21.734827413681458,4,5
21.7134347144487,4,5
16.080945054133057,all,1
16.173425153743935,all,1
19.635348256431033,all,2
19.62727354503928,all,2
23.077988748436308,all,3
23.045486024598407,all,3
26.333999900413758,all,4
26.360405607455032,all,4
29.88920754398455,all,5
29.884847617720762,all,5
43.26082067789827,ntc,
,ntc,
,ntc,
