Text,X,A1: no motif,X,B1: 5 motif,X,C1: 3 motif
0:26,26.68,7.19227812076783,26.68,11.7572721077296,26.68,44.3070144004405
0:38,38.74,6.77791206803379,38.74,11.6354321284117,38.74,55.5911615258507
0:50,50.84,6.73428371607491,50.84,11.7146875810754,50.84,66.020262114635
1:02,62.93,6.77722569719145,62.93,11.9240753560127,62.93,74.0039210838608
1:15,75.04,6.81949435445203,75.04,12.0080976851295,75.04,80.4130728823805
1:27,87.15,6.90126106197315,87.15,12.1298621955213,87.15,85.1454421545919
1:39,99.24,6.90195992385285,99.24,12.089686758307,99.24,89.0772646360759
1:51,111.34,6.90405735899989,111.34,12.2590236571079,111.34,92.0786061588331
2:03,123.45,6.94494457045889,123.45,12.340605079035,123.45,94.2584593873443
2:15,135.55,6.98582350012501,135.55,12.3393552709452,135.55,96.3139661294815
2:27,147.65,7.06970406486599,147.65,12.340605079035,147.65,98.1824542787147
2:39,159.75,7.06755652414154,159.75,12.4610526979863,159.75,99.1436488235368
2:51,171.85,7.15287706113738,171.85,12.5476621946375,171.85,100.743376427504
3:03,183.96,7.15287706113738,183.96,12.5062512660792,183.96,101.528177384027
3:16,196.07,7.15360162323839,196.07,12.6731798366751,196.07,102.364642423015
3:28,208.16,7.07042020182556,208.16,12.8388428031142,208.16,103.314762950137
3:40,220.26,7.19665032631237,220.26,12.6757478569054,220.26,104.120737556991
3:52,232.38,7.11129056300168,232.38,12.75471931024,232.38,104.708677152968
5:37,337.1,1.62185396022857,337.1,3.51164741202993,337.1,61.3250995417658
5:38,338.33,1.6128839679197,338.33,3.58059682749972,338.33,61.5149860844966
5:39,339.56,1.62934684335111,339.56,3.60920748435721,339.56,61.7853668228807
5:40,340.8,1.62901734955064,340.8,3.61675408701485,340.8,61.9709936807384
5:42,342.04,1.61239472101335,342.04,3.59606315230486,342.04,61.9297175714643
5:43,343.27,1.620706035282,343.27,3.58778692668275,343.27,61.822403641002
5:44,344.49,1.62469741563011,344.49,3.53777136677548,344.49,61.7542453673469
5:45,345.73,1.61223170466303,345.73,3.50466931710297,345.73,61.6139207843472
5:46,346.97,1.60791390434327,346.97,3.46707916785062,346.97,61.3518359392551
5:48,348.21,1.60791390434327,348.21,3.41743111286011,348.21,61.2074027183775
5:49,349.46,1.59960427048593,349.46,3.3636459052436,349.46,61.0010678516163
5:50,350.69,1.59113390957798,350.69,3.32193682906663,350.69,60.7431978058621
5:51,351.92,1.57467549244048,351.92,3.27262484167409,351.92,60.5264964722102
5:53,353.16,1.57451632176501,353.16,3.21024030575607,353.16,60.2728007561286
5:54,354.41,1.57451632176501,354.41,3.18955589249097,354.41,60.0004649980011
5:55,355.64,1.57467549244048,355.64,3.12781832343489,355.64,59.8043185092695
5:56,356.87,1.56205313090528,356.87,3.08613308508081,356.87,59.629096617845
