Text,X,A1: no motif,X,B1: 5 motif,X,C1: 3 motif
1:48,108.21,2.05134715712944,108.21,3.20633513518642,108.21,13.1906161229586
1:49,109.43,2.05880848904514,109.43,3.23438466225638,109.43,13.3107872006133
1:50,110.67,2.07542816752457,110.67,3.28039488965324,110.67,13.3842179293043
1:51,111.91,2.0581681131543,111.91,3.26732496493383,111.91,13.4420836644706
1:53,113.14,2.0620017518847,113.14,3.27089006368956,113.14,13.4054452309156
1:54,114.37,2.04922074772016,114.37,3.24543546620763,114.37,13.3462040954736
1:55,115.6,2.0573148980592,115.6,3.21931369928977,115.6,13.2630553751752
1:56,116.84,2.0358066534799,116.84,3.18929250453498,116.84,13.1855371806392
1:58,118.07,2.02282000403127,118.07,3.15079635081084,118.07,13.0615079529457
1:59,119.3,2.02261042881328,119.3,3.09534731744021,119.3,12.9290456455082
2:00,120.54,2.01367691742168,120.54,3.04807343128165,120.54,12.778371203514
2:01,121.79,2.00028358844503,121.79,3.00898455198364,121.79,12.6306787510691
2:03,123.03,1.99197801527514,123.03,2.97538850923728,123.03,12.5093873404914
2:04,124.26,1.99177174231094,124.26,2.93693842374527,124.26,12.3812779898958
2:05,125.5,1.98325989617685,125.5,2.87336820639048,125.5,12.2037386194054
2:06,126.73,1.97454358244595,126.73,2.8434076986362,126.73,12.0672206556318
2:07,127.95,1.96562557154722,127.95,2.80045210235145,127.95,11.9337217814346
2:09,129.19,1.95265962881388,129.19,2.77474477286584,129.19,11.7972741593161
2:10,130.41,1.94395009064935,130.41,2.71515616014159,130.41,11.639729718204
2:11,131.66,1.93949563559925,131.66,2.6725214296362,131.66,11.4779943210959
2:12,132.89,1.93929494275616,132.89,2.64260055905839,132.89,11.3458603519574
2:14,134.12,1.91338191935081,134.12,2.61664921382496,134.12,11.1999238094006
2:15,135.36,1.90082268859489,135.36,2.55340260276119,135.36,11.0532551029431
2:16,136.61,1.90893246957552,136.61,2.54440693497819,136.61,10.9327311578285
2:17,137.85,1.90853761334021,137.85,2.5100188138353,137.85,10.753150729331
2:19,139.09,1.89598177867307,139.09,2.47641286074293,139.09,10.5980365417911
2:20,140.34,1.8830337665773,140.34,2.44229492276367,140.34,10.4491740939409
2:21,141.57,1.87858883557161,141.57,2.40818378850994,141.57,10.3045649627782
2:22,142.8,1.86564529963832,142.8,2.37407970856999,142.8,10.1473214842518
2:24,144.04,1.85289601340367,144.04,2.34868853309092,144.04,10.0122489213829
2:25,145.29,1.85656985680022,145.29,2.30988523014629,145.29,9.88677266688075
2:26,146.53,1.84807296842758,146.53,2.28873231053891,146.53,9.75596176307329
2:27,147.77,1.83107919168231,147.77,2.25911837466084,147.77,9.62093108749901
2:29,149.02,1.83513793792177,149.02,2.23350419621818,149.02,9.47226195025775
