Text,X,Temperature,X,Acquisitions
0:00,0.2,34.31,108.21,69.93
0:00,0.62,34.82,109.43,69.55
0:01,1.03,36.36,110.67,69.4
0:01,1.44,38.23,111.91,69.6
0:01,1.85,40.12,113.14,69.79
0:02,2.27,41.99,114.37,69.96
0:02,2.68,43.86,115.6,70.1
0:03,3.09,46.17,116.84,70.25
0:03,3.51,48,118.07,70.4
0:03,3.92,49.82,119.3,70.51
0:04,4.33,51.61,120.54,70.64
0:04,4.74,53.43,121.79,70.77
0:05,5.16,55.23,123.03,70.89
0:05,5.57,57.01,124.26,70.98
0:05,5.98,58.84,125.5,71.12
0:06,6.39,61.05,126.73,71.21
0:06,6.81,62.89,127.95,71.31
0:07,7.22,64.63,129.19,71.44
0:07,7.63,66.46,130.41,71.56
0:08,8.04,68.23,131.66,71.65
0:08,8.45,70.02,132.89,71.76
0:08,8.87,71.79,134.12,71.86
0:09,9.28,73.59,135.36,71.94
0:09,9.69,75.77,136.61,72.05
0:10,10.1,77.57,137.85,72.14
0:10,10.52,79.32,139.09,72.26
0:10,10.93,81.13,140.34,72.37
0:11,11.34,82.96,141.57,72.47
0:11,11.75,84.71,142.8,72.58
0:12,12.17,86.46,144.04,72.67
0:12,12.58,88.21,145.29,72.78
0:12,12.99,90.44,146.53,72.87
0:13,13.41,92.23,147.77,72.95
0:13,13.82,93.96,149.02,73.08
0:14,14.23,95.68,150.26,73.16
0:14,14.64,97.44,151.48,73.28
0:15,15.06,99.17,152.72,73.37
0:15,15.47,100.7,153.96,73.44
0:15,15.88,101.36,155.18,73.56
0:16,16.3,100.87,156.42,73.65
0:16,16.71,100.07,157.67,73.74
0:17,17.12,99.14,158.89,73.85
0:17,17.53,98.05,160.13,73.95
0:17,17.94,96.87,161.37,74.06
0:18,18.36,95.95,162.62,74.17
0:18,18.77,95.36,163.86,74.26
0:19,19.18,95.06,165.1,74.35
0:19,19.59,94.89,166.33,74.46
0:20,20.01,94.89,167.57,74.56
0:20,20.42,94.93,168.8,74.64
0:20,20.83,94.96,170.03,74.76
0:21,21.24,94.99,171.28,74.84
0:21,21.65,94.99,172.52,74.96
0:22,22.07,95.02,173.74,75.04
0:22,22.48,94.99,174.99,75.14
0:22,22.89,94.99,176.22,75.25
0:23,23.31,94.99,177.45,75.34
0:23,23.72,94.45,178.69,75.46
0:24,24.13,93.54,179.93,75.53
0:24,24.54,92.52,181.17,75.62
0:24,24.96,91.47,182.4,75.72
0:25,25.37,90.44,183.64,75.83
0:25,25.78,89.38,184.86,75.91
0:26,26.19,88.12,186.09,76.04
0:26,26.61,87.15,187.33,76.12
0:27,27.02,86.24,188.56,76.23
0:27,27.43,85.31,189.78,76.35
0:27,27.85,84.42,191.01,76.41
0:28,28.26,83.55,192.25,76.52
0:28,28.67,82.67,193.48,76.62
0:29,29.08,81.81,194.72,76.7
0:29,29.5,80.72,195.95,76.82
0:29,29.91,79.87,197.18,76.9
0:30,30.32,79.03,198.42,77.02
0:30,30.73,78.19,199.66,77.13
0:31,31.15,77.31,200.9,77.23
0:31,31.56,76.44,202.13,77.31
0:31,31.97,75.59,203.37,77.4
0:32,32.38,74.73,204.6,77.51
0:32,32.8,73.65,205.83,77.6
0:33,33.21,72.81,207.06,77.71
0:33,33.62,71.94,208.29,77.81
0:34,34.03,71.07,209.53,77.92
0:34,34.44,70.22,210.78,78.01
0:34,34.86,69.34,212.02,78.12
0:35,35.27,68.49,213.26,78.22
0:35,35.68,67.59,214.48,78.29
0:36,36.09,66.54,215.73,78.41
0:36,36.51,65.71,216.97,78.5
0:36,36.92,65.54,218.21,78.62
0:37,37.33,66,219.44,78.67
0:37,37.75,66.87,220.68,78.8
0:38,38.16,67.79,221.92,78.91
0:38,38.57,68.72,223.16,78.99
0:38,38.98,69.55,224.41,79.08
0:39,39.4,69.84,225.63,79.2
0:39,39.81,69.81,226.87,79.28
0:40,40.22,69.73,228.12,79.38
0:40,40.64,69.63,229.36,79.47
0:41,41.05,69.55,230.59,79.58
0:41,41.46,69.52,231.82,79.67
0:41,41.87,69.49,233.07,79.78
0:42,42.29,69.52,234.31,79.9
0:42,42.7,69.52,235.55,79.99
0:43,43.11,69.55,236.78,80.08
0:43,43.52,69.58,238.01,80.16
0:43,43.93,69.58,239.24,80.29
0:44,44.35,69.6,240.48,80.37
0:44,44.76,69.63,241.7,80.48
0:45,45.17,69.63,242.93,80.58
0:45,45.58,69.66,244.16,80.66
0:46,46,69.66,245.4,80.78
0:46,46.41,69.69,246.64,80.87
0:46,46.82,69.7,247.88,80.96
0:47,47.23,69.7,249.13,81.07
0:47,47.65,69.73,250.36,81.16
0:48,48.06,69.73,251.59,81.25
0:48,48.47,69.73,252.82,81.36
0:48,48.88,69.73,254.06,81.46
0:49,49.3,69.76,255.3,81.55
0:49,49.71,69.76,256.54,81.66
0:50,50.12,69.79,257.79,81.75
0:50,50.54,69.79,259.02,81.86
0:50,50.95,69.79,260.25,81.95
0:51,51.36,69.79,261.5,82.04
0:51,51.77,69.79,262.73,82.16
0:52,52.19,69.81,263.96,82.25
0:52,52.6,69.81,265.19,82.38
0:53,53.01,69.81,266.44,82.42
0:53,53.42,69.84,267.68,82.54
0:53,53.84,69.84,268.91,82.67
0:54,54.25,69.84,270.16,82.75
0:54,54.66,69.84,271.4,82.84
