Ct,sample,dilution
9.782871653387057,1,1
9.849442899045954,1,1
13.64942156206683,1,2
13.676733825173468,1,2
17.244154453528676,1,3
17.229011405792985,1,3
20.751255752634666,1,4
20.722113879067418,1,4
24.338578943023663,1,5
24.324310568661186,1,5
7.970155399070795,2,1
7.9554412948123465,2,1
11.669012603829659,2,2
11.677202208286712,2,2
15.053856293791664,2,3
15.187736296094187,2,3
18.703656785785782,2,4
18.7045912926378,2,4
22.254394728556537,2,5
22.227441206949937,2,5
10.026258604870181,3,1
10.008364138920342,3,1
15.572353626542382,3,2
15.522449502708309,3,2
20.68072402506744,3,3
20.157840311523127,3,3
24.171315564350362,3,4
24.13823294101085,3,4
27.835208329470483,3,5
27.987605777392602,3,5
7.724296390196654,4,1
7.712296766585783,4,1
11.343236598406255,4,2
11.335225923382595,4,2
14.878077073269301,4,3
14.780574077977219,4,3
18.413956730458533,4,4
18.37189055811961,4,4
21.958434197045584,4,5
21.916267710316756,4,5
16.041661565570546,all,1
16.1015217231267,all,1
20.039440278566786,all,2
19.549803858172048,all,2
23.176838596739945,all,3
23.023280165040607,all,3
26.719154712370162,all,4
26.619309786832794,all,4
30.187959530516572,all,5
30.10622973299964,all,5
,ntc,
39.5282742312149,ntc,
43.92200695919564,ntc,
