Ct,sample,dilution
9.53179745354605,1,0
9.64601113196871,1,0
13.484978321955198,1,1
13.450062517471414,1,1
17.239373278503546,1,2
17.25114677159,1,2
20.999327314991877,1,3
20.995824739799286,1,3
24.593378271717015,1,4
24.569550293324863,1,4
7.812034066348578,2,0
7.783011365296055,2,0
11.741920927713874,2,1
11.704753994536205,2,1
15.560719864074308,2,2
15.558685950480237,2,2
19.05988488110704,2,3
19.172705216523834,2,3
22.877672644196675,2,4
22.921778380550002,2,4
9.153221912329588,3,0
9.182818477252543,3,0
13.2583358113559,3,1
13.286684046738731,3,1
17.027567250589104,3,2
17.02435776687687,3,2
20.82460849910162,3,3
20.783461815757526,3,3
24.610410612309973,3,4
24.587804356253233,3,4
7.70761426764091,4,0
7.830541880782768,4,0
11.919807315763608,4,1
11.910180861529355,4,1
16.268287148919974,4,2
16.36288816853139,4,2
19.855344417614774,4,3
19.76060873112546,4,3
23.33321290816783,4,4
23.378559240659936,4,4
