seq_id,PCR1,PCR2
000448,683,1424
000449,226,245
000450,327,113
000451,435,819
000452,690,1568
000453,333,1448
000454,455,745
000455,227,505
000456,246,100
000457,219,373
000458,345,30
000459,618,104
000460,228,239
000461,224,622
000462,458,603
000463,706,460
000464,387,755
000465,303,2
000466,536,356
000467,169,0
000468,623,307
000469,666,541
000470,249,852
000471,46,0
000472,121,232
000473,265,146
000474,108,0
000475,399,1781
000476,335,581
000477,244,236
000478,236,54
000479,307,153
000480,266,665
000481,852,510
000482,1498,172
000483,292,1223
000484,232,68
000485,294,184
000486,198,0
000487,514,867
000488,666,520
000489,646,1352
000490,348,415
000491,374,119
000492,626,230
000493,186,0
000494,386,192
000495,272,444
000496,178,0
000497,175,208
000498,524,906
000499,501,27
000500,564,554
000501,232,162
000502,464,53
000503,331,100
000504,637,1247
000505,247,566
000506,358,391
000507,599,850
000508,164,105
000509,326,1116
000510,341,76
000511,479,419
000512,720,381
000513,226,316
000514,127,12
000515,111,4
000516,237,313
000517,485,662
000518,170,5
000519,628,281
000520,220,208
000521,423,195
000522,402,325
000523,441,293
000524,218,459
000525,1156,1827
000526,791,325
000527,374,99
000528,310,420
000529,371,362
000530,463,259
000531,1211,440
000532,832,369
000533,120,44
000534,632,237
000535,765,133
000536,482,451
000537,389,552
000538,199,144
000539,621,927
000540,374,454
000541,275,8
000542,402,665
000543,243,0
000544,412,1103
000545,359,275
000546,450,68
000547,210,73
000548,203,305
000549,621,826
000550,359,906
000551,1444,30
000552,394,0
000553,570,330
000554,341,274
000555,198,11
000556,266,837
000557,198,196
000558,424,486
000559,98,0
000560,167,226
000561,206,168
000562,595,130
000563,365,0
000564,1660,981
000565,177,242
000566,398,705
000567,394,119
000568,335,738
000569,743,290
000570,802,1563
000571,569,254
000572,457,49
000573,623,2206
000574,294,510
000575,187,93
000576,409,1108
000577,283,149
000578,490,309
000579,291,656
000580,271,76
000581,142,152
000582,550,975
000583,415,55
000584,377,155
000585,218,2
000586,963,639
000587,361,232
000588,840,1650
000589,157,6
