fold,seq_id,label,prediction
1,000253,1,0.5003382381875998
1,000338,1,0.5196614818058077
1,000653,1,0.5087850741474781
1,001331,1,0.5002506783549555
1,001523,1,0.5002862811771184
1,001845,1,0.5180650354709317
1,001959,1,0.5281437262762071
1,002090,1,0.5104334874740561
1,002268,1,0.50872285799709
1,002416,1,0.500305490146753
1,002463,1,0.5016735849182237
1,002482,1,0.5003592725888042
1,002516,1,0.5005964061042655
1,002574,1,0.501605828734337
1,002984,1,0.5005680222381336
1,003089,1,0.5006748401081207
1,003507,1,0.5007582086186511
1,003591,1,0.5000577676842294
1,004322,1,0.502009824092154
1,004463,1,0.5139993380904659
1,005211,1,0.5009442115241738
1,005217,1,0.5009446548685298
1,005294,1,0.500411270298552
1,006234,1,0.5559661859949077
1,006792,1,0.5002808561747266
1,007048,1,0.5020231724036847
1,007078,1,0.5003261919518437
1,007793,1,0.5189232898972929
1,007821,1,0.5040822843141372
1,008116,1,0.5290253656537607
1,008279,1,0.5422444318885936
1,008283,1,0.5099373395828356
1,008558,1,0.5010761568837744
1,008622,1,0.502788590415616
1,008911,1,0.5003662242389612
1,008928,1,0.5010480414933322
1,009100,1,0.5540226326574252
1,009200,1,0.5006725588089713
1,009246,1,0.5003932909524368
1,009278,1,0.5008252483740084
1,009699,1,0.5000641179501555
1,010005,1,0.5018586226910244
1,010039,1,0.5006614893251569
1,010122,1,0.5075661585623689
1,010226,1,0.5005537471830847
1,010952,1,0.501380898557132
1,011090,1,0.5005930050565373
1,011885,1,0.5007102326178454
1,000004,0,0.5020471025745198
1,000014,0,0.5005659131389628
1,000016,0,0.5001678608886544
1,000030,0,0.5011402342646674
1,000034,0,0.5030818882474983
1,000038,0,0.5017282238435866
1,000045,0,0.5005666091584208
1,000048,0,0.5001497131814767
1,000050,0,0.5004231341348969
1,000068,0,0.5000942924964566
1,000078,0,0.501350095358788
1,000081,0,0.5008954979164213
1,000087,0,0.5005097078355047
1,000088,0,0.5062381681904405
1,000099,0,0.5067144546438778
1,000104,0,0.5001676253841856
1,000109,0,0.5070358193970596
1,000110,0,0.5017779031935027
1,000111,0,0.5002669206435255
1,000124,0,0.5022579983047957
1,000131,0,0.5007264021284499
1,000141,0,0.5013211047315997
1,000149,0,0.502162012552983
1,000155,0,0.5000841029267813
1,000156,0,0.5015494442203613
1,000157,0,0.5003268834132132
1,000163,0,0.5009930178191293
1,000165,0,0.5004031791539285
1,000166,0,0.5000920713742046
1,000167,0,0.5021715685682585
1,000175,0,0.502057671956058
1,000176,0,0.500404481049131
1,000180,0,0.5003342971755397
1,000182,0,0.500162216775951
1,000192,0,0.5001701167322089
1,000204,0,0.5015109964963664
1,000210,0,0.5007877655371857
1,000220,0,0.5001409006470756
1,000221,0,0.5052761116240906
1,000232,0,0.5005196240411931
1,000238,0,0.5002317936163397
1,000242,0,0.5028675265001187
1,000249,0,0.5011474377098858
1,000250,0,0.5007130750762186
1,000252,0,0.5004233620333159
1,000257,0,0.5003758600408861
1,000269,0,0.5036546467972233
1,000273,0,0.5013664355080429
1,000275,0,0.5000647892291382
1,000279,0,0.5006750610973438
1,000282,0,0.5083817875985868
1,000285,0,0.5001308249822665
1,000288,0,0.5004738829072446
1,000292,0,0.5001728645145093
1,000298,0,0.5022138501188763
1,000303,0,0.5004885997927192
1,000307,0,0.500256286415784
1,000309,0,0.5002377337580672
1,000319,0,0.5001858489127993
1,000320,0,0.500183433131087
1,000322,0,0.5003048079018809
1,000329,0,0.5018451546953656
1,000330,0,0.5003906738046116
1,000334,0,0.5037366057858266
1,000340,0,0.5001064230514168
1,000345,0,0.5000758210627657
1,000347,0,0.5003382160207357
1,000348,0,0.5018739130779447
1,000356,0,0.5006588239826251
1,000358,0,0.5000384835181836
1,000359,0,0.50036747520147
1,000364,0,0.5025418932447685
1,000384,0,0.5000687306471671
1,000390,0,0.5008208371398871
1,000399,0,0.5003833123253724
1,000406,0,0.5005102177297733
1,000411,0,0.500257757535367
1,000413,0,0.5009156132296814
1,000414,0,0.5015281377156728
1,000415,0,0.5004652860555967
1,000417,0,0.5006807168463197
1,000419,0,0.5005510493025078
1,000423,0,0.500342784344128
1,000427,0,0.501045496307774
1,000440,0,0.5001578741191355
1,000449,0,0.5013382148110841
1,000452,0,0.5014504607487844
1,000461,0,0.5001124717411375
1,000474,0,0.5016533956909058
1,000506,0,0.5005260066638315
1,000512,0,0.5022137032002818
1,000515,0,0.5005804618615091
1,000524,0,0.5003461371002488
1,000527,0,0.500239623560199
1,000529,0,0.5002436363904876
1,000530,0,0.5051800403189494
1,000532,0,0.5003976714146331
1,000549,0,0.5001179172791754
1,000550,0,0.5031967844781735
1,000554,0,0.5050653010093088
1,000563,0,0.5019387861189425
1,000564,0,0.5024544369471283
1,000568,0,0.5015336006789839
1,000569,0,0.5002816340159142
1,000571,0,0.5004470281537916
1,000578,0,0.5003022789176638
1,000583,0,0.5018219140776111
1,000589,0,0.5005462438951733
1,000597,0,0.5044076393825153
1,000615,0,0.5004339206039716
1,000619,0,0.5006989294480977
1,000620,0,0.5003608148250404
1,000630,0,0.5088001684903726
1,000638,0,0.5004007766778968
1,000642,0,0.5072957442487405
1,000647,0,0.5010258533487996
1,000649,0,0.5008664513869343
1,000655,0,0.5004018419354475
1,000656,0,0.5010329448749602
1,000660,0,0.5014451102002222
1,000669,0,0.500298105927115
1,000688,0,0.5008015059820871
1,000689,0,0.5004704647183245
1,000690,0,0.5000884640755932
1,000694,0,0.5001846264939558
1,000695,0,0.50031864803316
1,000698,0,0.5006769945381137
1,000699,0,0.5003444940464638
1,000709,0,0.5000690464289632
1,000714,0,0.5005022148241662
1,000717,0,0.5032154166665241
1,000721,0,0.5003147813251617
1,000723,0,0.5002712246494978
1,000727,0,0.5000652967275727
1,000728,0,0.5002071146199163
1,000729,0,0.5017775153779443
1,000732,0,0.5008135718226473
1,000735,0,0.5062400878167977
1,000736,0,0.5016891950361065
1,000743,0,0.503081154852537
1,000744,0,0.5008212974389868
1,000755,0,0.5003220243926062
1,000758,0,0.5003067303436345
1,000762,0,0.5006774191484124
1,000763,0,0.5002984598548396
1,000769,0,0.5031899159839555
1,000776,0,0.5002376792750985
1,000778,0,0.5007019996809123
1,000781,0,0.5015113001729316
1,000788,0,0.5003287275394975
1,000790,0,0.5004447046809105
1,000795,0,0.5003805921533468
1,000799,0,0.5004557960965452
1,000805,0,0.50026611744568
1,000808,0,0.5021954134318861
1,000809,0,0.5003730825759423
1,000812,0,0.5003668290477462
1,000813,0,0.501058618930849
1,000815,0,0.5090527656931232
1,000816,0,0.5002211279288923
1,000817,0,0.5003907642773725
1,000820,0,0.5002978581370684
1,000823,0,0.5001837451620637
1,000825,0,0.5003319209514315
1,000829,0,0.5003945906260899
1,000834,0,0.501108764568561
1,000838,0,0.5015678693482271
1,000840,0,0.5001434284010432
1,000844,0,0.5002457186069224
1,000856,0,0.50101655994255
1,000869,0,0.5020300576824802
1,000870,0,0.5011090163512969
1,000871,0,0.5012981137656056
1,000879,0,0.5069593561392984
1,000881,0,0.5005518710141018
1,000883,0,0.5003099164106823
1,000891,0,0.500708973553666
1,000892,0,0.5006709966323877
1,000901,0,0.5009798533990717
1,000906,0,0.5004357914657388
1,000911,0,0.5002409287644088
1,000912,0,0.500331158445247
1,000916,0,0.5003207443030127
1,000918,0,0.5005692600904763
1,000920,0,0.5002457330976069
1,000925,0,0.5011193615216734
1,000931,0,0.5005520598624291
1,000943,0,0.5000835278543072
1,000960,0,0.5006002943540019
1,000966,0,0.5000477503838278
1,000968,0,0.5008467611639086
1,000971,0,0.5029558663297441
1,000977,0,0.50109263894086
1,000979,0,0.500096839990531
1,000985,0,0.500259390816814
1,000987,0,0.5005477135406001
1,000990,0,0.5004428534905121
1,000995,0,0.5013100751949074
1,000996,0,0.500173618217771
1,000998,0,0.5002810728654387
1,001007,0,0.5096724766607169
1,001009,0,0.5017913426837529
1,001012,0,0.504893023003273
1,001015,0,0.5021218012372021
1,001041,0,0.5007178035373022
1,001046,0,0.5017453040384613
1,001050,0,0.5005311468633687
1,001052,0,0.5003748241658659
1,001053,0,0.5005511661895973
1,001057,0,0.5022315040400267
1,001061,0,0.501411513981831
1,001071,0,0.500161254718472
1,001073,0,0.5001146790842935
1,001074,0,0.5005332946895659
1,001075,0,0.5003220140062875
1,001079,0,0.5005530980952193
1,001086,0,0.5013660757118393
1,001087,0,0.5001469308531623
1,001093,0,0.5006610682527799
1,001096,0,0.5002511170194951
1,001098,0,0.5001997322946716
1,001114,0,0.5001902961789406
1,001116,0,0.5016494658433421
1,001121,0,0.5003705697536069
1,001132,0,0.50109383970336
1,001133,0,0.5001157661196741
1,001135,0,0.5000959528653343
1,001140,0,0.5020407880401421
1,001141,0,0.5005958556675758
1,001142,0,0.5128234495096742
1,001149,0,0.503211023788942
1,001157,0,0.5003116063963433
1,001158,0,0.500286613338428
1,001162,0,0.500447256352313
1,001168,0,0.5012370165695913
1,001170,0,0.5001369923454467
1,001173,0,0.5002026859125994
1,001181,0,0.5019816089951519
1,001186,0,0.5001749879816034
1,001189,0,0.5001908785829189
1,001193,0,0.500750803910383
1,001194,0,0.500399732982359
1,001197,0,0.5000771837603416
1,001199,0,0.5000726121380537
1,001210,0,0.501331664800287
1,001215,0,0.5003183728068906
1,001221,0,0.5000735996479292
1,001223,0,0.5001379630206388
1,001225,0,0.5002715648941569
1,001226,0,0.5009459098494784
1,001231,0,0.5002927833385193
1,001235,0,0.5001161130199605
1,001237,0,0.5031872540659025
1,001240,0,0.5006072315306958
1,001242,0,0.5000836174839908
1,001243,0,0.5004120224621696
1,001248,0,0.5063053501316468
1,001250,0,0.5000770196377776
1,001254,0,0.501600662239313
1,001255,0,0.500673118794142
1,001258,0,0.5012114431520903
1,001261,0,0.5002137133458257
1,001280,0,0.5004405805904989
1,001283,0,0.5001792882123874
1,001286,0,0.5004295337599312
1,001287,0,0.5039397739529182
1,001295,0,0.5002942210416644
1,001296,0,0.5026709479422303
1,001301,0,0.500692198458163
1,001304,0,0.5005244626886461
1,001308,0,0.5010268725005863
1,001317,0,0.5029826030204044
1,001322,0,0.5013241129689957
1,001325,0,0.5012309904307889
1,001333,0,0.5006026636697815
1,001341,0,0.5003477328479601
1,001344,0,0.5019182433165511
1,001347,0,0.5004727745172691
1,001349,0,0.5183359247924727
1,001353,0,0.500311662754914
1,001357,0,0.5006588728609518
1,001365,0,0.5070934788797864
1,001366,0,0.5005586383290496
1,001370,0,0.5000202307829569
1,001375,0,0.5003775009062188
1,001386,0,0.5005752873025998
1,001388,0,0.5008365165461874
1,001390,0,0.5003957157646793
1,001400,0,0.5004672446401708
1,001402,0,0.5002933561026707
1,001404,0,0.5004637206038273
1,001410,0,0.5017837655180882
1,001423,0,0.500583370564915
1,001425,0,0.500720207111866
1,001433,0,0.5781608732665188
1,001439,0,0.500388234890393
1,001465,0,0.5000415866848269
1,001472,0,0.5002667719552281
1,001478,0,0.5014425640774969
1,001484,0,0.5010955846481598
1,001489,0,0.5003906645777555
1,001496,0,0.5014168621592869
1,001497,0,0.5001349075430468
1,001498,0,0.5021784296461899
1,001500,0,0.500498453690787
1,001503,0,0.5001582121768545
