seq_id,true_efficiency,binary_label,pred_efficiency,pred_probability
24,0.9788004,1,0.97077024,0.5291102641608622
56,0.97710717,1,0.9705882,0.6294519647785517
70,0.9590053,1,0.9704896,0.6837955053226442
123,0.9367986,1,0.97083044,0.4959258772506243
198,0.958113,1,0.9711915,0.29688526744644494
293,0.963968,1,0.9706625,0.5885136023130504
298,0.9757308,1,0.97094953,0.43027993165987644
376,0.9648797,1,0.97051036,0.672361676961493
431,0.9635419,1,0.97113454,0.32829543961098695
432,0.9560089,1,0.9710835,0.3564200289131292
558,0.9603676,1,0.9707823,0.5224733867788145
589,0.96771693,1,0.9708555,0.4821264292285451
592,0.9753967,1,0.9705944,0.6260349586016559
691,0.96963954,1,0.9710505,0.374622157970824
703,0.97063166,1,0.9705235,0.6651333946642135
727,0.95798546,1,0.97076344,0.5328558286239979
743,0.9770998,1,0.9707103,0.562163227756604
752,0.9755688,1,0.97106385,0.36726245235904853
764,0.9757469,1,0.970983,0.4118149559731896
765,0.94083023,1,0.9707655,0.5317387304507819
809,0.9698618,1,0.97103727,0.38191615192535155
834,0.9707955,1,0.9706609,0.5893678538572743
835,0.9747179,1,0.97074986,0.5403469575502694
870,0.9596847,1,0.97061515,0.6146011302405047
872,0.9757112,1,0.9707689,0.5298330923905901
907,0.97550386,1,0.9708239,0.499540018399264
1015,0.9493525,1,0.9710605,0.36910237876199237
1123,0.97089845,1,0.9706626,0.5884478906558024
1125,0.9759482,1,0.97065115,0.5947562097516099
1158,0.9568804,1,0.97089946,0.45787882770403465
1176,0.9785082,1,0.9707395,0.546063871730845
1267,0.94313085,1,0.970983,0.4118149559731896
1299,0.97424155,1,0.9710256,0.3883558943356551
1350,0.93890667,1,0.9707601,0.5346957550269418
1380,0.95320076,1,0.97094715,0.43159416480483637
1387,0.9504617,1,0.9706781,0.5799053752135629
1408,0.95674187,1,0.9707438,0.5436982520699172
1437,0.96004707,1,0.970889,0.4636614535418583
1451,0.97868973,1,0.9708823,0.46734130634774607
1456,0.9635998,1,0.97073877,0.546458141674333
1492,0.86909777,1,0.97107184,0.3628597713234327
1715,0.9771193,1,0.9709885,0.40879221973978186
1750,0.95401436,1,0.97066617,0.5864765409383625
1753,0.95917565,1,0.97120976,0.2868313838875016
1874,0.95203507,1,0.97076523,0.5318701537652779
1951,0.9662205,1,0.97118676,0.2995137337363648
1972,0.96477526,1,0.9708619,0.4785779997371534
1990,0.9790799,1,0.97087526,0.47121829412537786
2020,0.97316897,1,0.97095215,0.4288342752004205
2035,0.96709716,1,0.9704882,0.6845840452096201
2046,0.96512675,1,0.9710401,0.3803390721513996
2145,0.93221784,1,0.9706745,0.5818767249310028
2158,0.97287434,1,0.9703355,0.7687606781443028
2159,0.9644713,1,0.97089875,0.45827309764752266
2169,0.9656399,1,0.9705236,0.6650676830069655
2199,0.95764774,1,0.9711474,0.3211985806282034
2225,0.9587548,1,0.97089183,0.46208437376790645
2303,0.97753125,1,0.9714676,0.14469706926008674
2336,0.9777158,1,0.9711118,0.34084636614535424
2337,0.93046683,1,0.9707341,0.5490208963070049
2345,0.94550735,1,0.970796,0.514916546195295
2398,0.93245536,1,0.9707943,0.515836509396767
2469,0.910532,1,0.97069883,0.5684715468524116
2500,0.9475163,1,0.9708315,0.4953344723353923
2563,0.9778892,1,0.97064245,0.5995531607307136
2565,0.9549643,1,0.97136116,0.20337757918254695
2631,0.96278757,1,0.97086954,0.4743724536732816
2699,0.9664067,1,0.9709288,0.4417137600210277
2721,0.96710306,1,0.97084796,0.4862662636351689
2851,0.9478357,1,0.9707321,0.5501379944802207
2957,0.95162606,1,0.971156,0.3164673413063478
2978,0.9747459,1,0.9705223,0.6657905112366934
3056,0.96122694,1,0.97073627,0.5478380864765409
3077,0.9532855,1,0.9707339,0.5491523196215009
3104,0.97326106,1,0.97071385,0.5601918780391641
3109,0.97551274,1,0.9705219,0.6659876462084373
3168,0.97517794,1,0.97104204,0.3792876856354317
3180,0.9663948,1,0.9707973,0.5141937179655671
3270,0.977602,1,0.970446,0.7078459718754107
3325,0.977973,1,0.97095644,0.42646865553949276
3420,0.9745005,1,0.97072697,0.5529635957418846
3530,0.9754125,1,0.9711015,0.34649756866868187
3537,0.977067,1,0.9709294,0.4413852017347878
3582,0.9609554,1,0.97101796,0.3925614403995269
3935,0.9738568,1,0.9713143,0.22920226048100933
3959,0.9569058,1,0.97077394,0.5270732027861742
3974,0.9588011,1,0.97058225,0.6327375476409516
4020,0.9666159,1,0.9709177,0.44782494414509133
4087,0.9554661,1,0.97056973,0.6396372716519911
4189,0.97006434,1,0.97093344,0.43915100538835594
4301,0.95552266,1,0.97072554,0.5537521356288606
4341,0.9772427,1,0.97130847,0.2324221316861611
4456,0.9631903,1,0.9709953,0.4050466552766461
4501,0.93248504,1,0.9708253,0.49875147851228807
4506,0.97907716,1,0.9707649,0.5320672887370219
4556,0.9772409,1,0.9705734,0.6376002102773032
4600,0.96646076,1,0.97100866,0.3976869496648705
4742,0.9697218,1,0.9706527,0.593901958207386
4812,0.97477096,1,0.9707204,0.5565777368905244
4823,0.969891,1,0.9709629,0.422920226048101
4826,0.967858,1,0.97084796,0.4862662636351689
4855,0.9790594,1,0.970893,0.46142725719542643
4880,0.95948184,1,0.9708649,0.4769352083059535
4890,0.9648579,1,0.97074795,0.5413983440662373
4930,0.96638006,1,0.9703896,0.7389275857537128
4934,0.9784623,1,0.97063637,0.6029044552503614
5039,0.96648973,1,0.9709928,0.406426600078854
5091,0.9274087,1,0.9706665,0.5862794059666185
5093,0.9766889,1,0.97051895,0.6676304376396373
5095,0.9391741,1,0.9709934,0.406098041792614
5098,0.9777043,1,0.97108734,0.35431725588119334
5171,0.97827595,1,0.9708756,0.47102115915363385
5335,0.96908253,1,0.9708483,0.4860691286634249
5365,0.9785428,1,0.9709383,0.4364568274411881
5373,0.9551717,1,0.9707848,0.5210934419766067
5446,0.9753458,1,0.97081363,0.5051912209225917
5457,0.9449835,1,0.97072613,0.5534235773426206
5495,0.9749305,1,0.9709804,0.41326061243264556
5534,0.9489411,1,0.9708631,0.4779208831646734
5548,0.9255142,1,0.9707713,0.5285188592456302
5618,0.9405467,1,0.97133803,0.21612564068865814
5623,0.96728265,1,0.97098184,0.41247207254566964
5641,0.936299,1,0.97078955,0.5184649756866868
5716,0.8957746,1,0.970466,0.6968064134577474
5794,0.8874112,1,0.97090983,0.452161913523459
5806,0.9771289,1,0.9705105,0.672295965304245
5815,0.96625787,1,0.97060585,0.6197266395058483
5896,0.9597794,1,0.9709966,0.40432382704691816
5901,0.9644706,1,0.97062767,0.6077014062294651
5948,0.9767311,1,0.97085524,0.4822578525430411
6119,0.9451729,1,0.9712775,0.24950716257063998
6143,0.9683366,1,0.97054183,0.6550137994480221
6159,0.9143982,1,0.97088134,0.4678669996057301
6191,0.9727357,1,0.9706249,0.609212774346169
6291,0.9378487,1,0.97070265,0.5663687738204757
6357,0.9718377,1,0.97073984,0.545866736759101
6409,0.9624293,1,0.9711132,0.3400578262583782
6430,0.96817946,1,0.9711796,0.3034564331712446
6538,0.95650136,1,0.9709053,0.4546589564988829
6561,0.96656823,1,0.97065294,0.59377053489289
6569,0.9572166,1,0.9710623,0.36811670390327245
6580,0.9757446,1,0.97114444,0.32284137205940333
6622,0.97696483,1,0.9705887,0.6291891181495597
6623,0.97816724,1,0.97039545,0.7357077145485609
6666,0.9621851,1,0.9709772,0.4150348271783414
6679,0.9490557,1,0.9708953,0.4601787357077145
6686,0.9381395,1,0.97088087,0.4681298462347221
6715,0.9730246,1,0.9708059,0.5094624786437114
6768,0.9790849,1,0.9705733,0.6376659219345512
6778,0.95320207,1,0.9709096,0.45229333683795503
6793,0.86126494,1,0.97088027,0.468458404520962
6796,0.9469876,1,0.9704807,0.6887238796162439
6877,0.96974945,1,0.97112167,0.3353922985937705
6946,0.95483077,1,0.970793,0.516559337626495
7093,0.9692849,1,0.9708204,0.5014456564594559
7218,0.9739462,1,0.970433,0.7150085425154422
7634,0.9783466,1,0.9708334,0.4942830858194244
7636,0.9783575,1,0.9706137,0.6153896701274806
7645,0.97625536,1,0.97119856,0.29300827966881327
7674,0.96185696,1,0.9710188,0.3921014587987909
7813,0.89361775,1,0.9705037,0.6760415297673807
7852,0.97094744,1,0.9707022,0.5666316204494677
7861,0.97594935,1,0.971082,0.3572742804573531
7891,0.94593644,1,0.97090435,0.4551846497568669
7900,0.9485422,1,0.9707351,0.5484952030490209
7903,0.9736374,1,0.97105634,0.3714022867656722
7963,0.9705041,1,0.9706,0.6229465107110002
8141,0.9694434,1,0.9706485,0.5962018662110659
8146,0.97152245,1,0.9704943,0.6812327506899725
8253,0.9781752,1,0.97077537,0.5262846628991984
8293,0.97733164,1,0.9706626,0.5884478906558024
8335,0.9767329,1,0.97097576,0.4158233670653174
8345,0.9745201,1,0.97067857,0.5796425285845709
8392,0.9329166,1,0.97088754,0.4644499934288343
8497,0.9499554,1,0.9706763,0.5808910500722828
8498,0.9503954,1,0.9705912,0.6278091733473519
8580,0.97531706,1,0.97050774,0.6738073334209489
8612,0.9744956,1,0.9709064,0.454067551583651
8614,0.9751759,1,0.9706725,0.5829938231042187
8683,0.9628294,1,0.9707731,0.5275331843869102
8705,0.97247785,1,0.9706365,0.6028387435931134
8824,0.9550271,1,0.970876,0.47082402418188984
8850,0.97191817,1,0.97026,0.8103561571822842
