seq_id,true_efficiency,binary_label,pred_efficiency,pred_probability
5,0.97940403,1,1.0490441,0.6755179646074965
26,0.94099945,1,1.0461171,0.7689818850371701
120,0.80330485,1,1.0491326,0.672693568217547
172,0.9776039,1,1.0530427,0.5478415445108884
183,0.95760137,1,1.0465508,0.7551339685053158
253,0.9451488,1,1.0564609,0.4386949918351344
265,0.9773027,1,1.0537423,0.5255014064884987
338,0.8717909,1,1.0490482,0.6753885448268249
386,0.930885,1,1.0522738,0.5723932381971063
468,0.94965446,1,1.0584717,0.3744875547655028
501,0.9710452,1,1.0444014,0.823764516902604
623,0.97944826,1,1.0597241,0.33449684253799805
635,0.9646676,1,1.0529866,0.5496305826554655
653,0.9793253,1,1.055351,0.474133172954311
658,0.85959584,1,1.0535113,0.5328783339867764
666,0.87909573,1,1.0543637,0.5056583089402423
1024,0.94707495,1,1.0595174,0.34109725135224633
1025,0.9576006,1,1.0548785,0.48922199679495715
1044,0.9333662,1,1.0542524,0.5092135464445722
1216,0.9646199,1,1.053572,0.5309370372767033
1324,0.9470455,1,1.0535805,0.530666778322948
1327,0.96111256,1,1.0508003,0.6194411349353472
1331,0.97435224,1,1.0487568,0.684691543178626
1377,0.9488827,1,1.0497355,0.6534404726105874
1397,0.96196645,1,1.0521533,0.5762377669758785
1405,0.9344703,1,1.054398,0.504565853732809
1466,0.97236496,1,1.0478177,0.7146788676530484
1516,0.9459414,1,1.049973,0.6458579960488902
1523,0.96655554,1,1.0533102,0.539299838986567
1569,0.9799103,1,1.0543668,0.50555934087267
1583,0.9787034,1,1.056144,0.4488125735123386
1590,0.9479631,1,1.0521622,0.575956088629711
1592,0.939198,1,1.0527365,0.5576165444157268
1713,0.9633507,1,1.0498279,0.6504904629041037
1733,0.9626852,1,1.0505364,0.6278686465355467
1845,0.94857323,1,1.053737,0.5256688909105443
1959,0.9405902,1,1.0484316,0.695075577345448
2090,0.9612935,1,1.0571438,0.4168877587919806
2254,0.94398135,1,1.0388821,1.0
