seq_id,true_efficiency,binary_label,pred_efficiency,pred_probability,fold
253,0.9451488,1,0.9996587,0.5758038994823933,1
338,0.8717909,1,0.9988378,0.7604795236945853,1
653,0.9793253,1,0.9990877,0.7042669026738542,1
1331,0.97435224,1,0.9997442,0.5565746775015421,1
1523,0.96655554,1,0.999962,0.5075763670984526,1
1845,0.94857323,1,0.99923503,0.6711186204307131,1
1959,0.9405902,1,0.9993703,0.6406924665432993,1
2090,0.9612935,1,1.0003698,0.41582857296108566,1
2268,0.95459133,1,0.9998599,0.5305334298817281,1
2416,0.96703464,1,1.000052,0.4873280231716147,1
2463,0.9494081,1,0.99928963,0.6588355190817174,1
2482,0.96598667,1,0.99984705,0.5334298817282163,1
2516,0.96098435,1,0.9993489,0.6455064767881568,1
2574,0.9498878,1,0.9999932,0.5005497894708612,1
2984,0.9591376,1,0.999005,0.7228658781881084,1
3089,0.97754234,1,0.99995136,0.5099632579719473,1
3507,0.9416907,1,0.99953043,0.6046611419529595,1
3591,0.9537298,1,0.9994918,0.6133504974924237,1
4322,0.97836673,1,1.0001003,0.47646632874728456,1
4463,0.9746599,1,0.9998447,0.5339662616997881,1
5211,0.96166533,1,0.99995345,0.5094939254968219,1
5217,0.9728295,1,0.99950826,0.6096494756885777,1
5294,0.9748153,1,0.9994863,0.6145841714270389,1
6234,0.78128606,1,0.99983084,0.537077265534905,1
6792,0.97840476,1,1.0000039,0.4981360795987878,1
7048,0.9696357,1,0.9992449,0.6688926435486899,1
7078,0.938879,1,0.99984634,0.5335907957196878,1
7793,0.9732316,1,0.9999269,0.5154611526805589,1
7821,0.9724182,1,1.0003223,0.4265025343953657,1
8116,0.9476189,1,0.9995904,0.5911711856679271,1
8279,0.94422156,1,0.99956787,0.5962399763992812,1
8283,0.9502912,1,1.0003434,0.42175557164695465,1
8558,0.97430307,1,0.9999267,0.5155147906777161,1
8622,0.97808474,1,0.99948466,0.6149596374071392,1
8911,0.9702342,1,0.99954027,0.6024485745702255,1
8928,0.9705284,1,0.9993307,0.6495963740713921,1
9100,0.976766,1,0.9989284,0.7400970847748545,1
9200,0.9637548,1,0.9997128,0.5636280741277121,1
9246,0.9793077,1,1.0000353,0.4910826829726178,1
9278,0.95537305,1,1.000214,0.4508810041033068,1
9699,0.9535714,1,0.9993113,0.6539544613404136,1
10005,0.93053114,1,0.99904776,0.7132512671976828,1
10039,0.97594494,1,0.9985244,0.8309866709577065,1
10122,0.9722059,1,0.99976844,0.5511170112907984,1
10226,0.95116526,1,0.99992025,0.5169630166009601,1
10952,0.9557637,1,0.99949765,0.6120363665620725,1
11090,0.9635908,1,1.0000819,0.48059645452838795,1
11885,0.9715615,1,0.99966216,0.5750261485236141,1
4,0.99772817,0,0.9996674,0.573846112586156,1
14,1.0054358,0,0.9994273,0.6278595757234424,1
16,1.0016736,0,0.9992442,0.6690535575401615,1
30,1.000917,0,0.99997467,0.5047201437498323,1
34,0.9897526,0,1.0000832,0.48030144554402343,1
38,1.0065243,0,1.0002859,0.43470914796041515,1
45,1.0012755,0,0.999493,0.6130823075066377,1
48,1.0037171,0,1.0000001,0.4989942875533028,1
50,1.0048643,0,1.0006605,0.35041703542789715,1
68,1.002605,0,0.9995364,0.6033201920240299,1
78,1.0016671,0,1.0000418,0.4896076380507952,1
81,0.9998487,0,0.99976426,0.5520556762410491,1
87,0.9963213,0,0.99997646,0.5043178587711534,1
88,1.0084721,0,0.9998861,0.524646659693727,1
99,0.9996617,0,0.9996221,0.5840373320460215,1
104,1.0025281,0,1.0005043,0.38557674256443264,1
109,1.0016581,0,0.99976194,0.5525786467133318,1
110,1.0043283,0,1.0000294,0.49239681390296886,1
111,0.9995408,0,1.0005057,0.3852549145814895,1
124,0.99406725,0,0.999791,0.546034811060155,1
131,0.9970768,0,0.9999478,0.5107678279293051,1
141,1.0048821,0,0.9999492,0.510445999946362,1
149,1.0021665,0,1.0003653,0.4168476949070722,1
155,1.000011,0,1.0002469,0.4434789604956151,1
156,1.0016385,0,0.9994055,0.632767452463325,1
157,1.0025431,0,0.9996788,0.5712848982219003,1
163,1.0006179,0,0.99924654,0.6685305870678788,1
165,1.001005,0,0.99965525,0.5765816504411725,1
166,0.996078,0,1.0006521,0.35232118432697723,1
167,1.0015588,0,0.9999188,0.5172848445839032,1
175,0.99908626,0,0.9993993,0.6341620403894119,1
176,1.0010782,0,0.999503,0.6108295116260358,1
180,0.9995084,0,1.0001435,0.4667310322632553,1
182,1.0002079,0,0.9990233,0.7187491619062945,1
192,1.0054495,0,0.9995155,0.6080269262745729,1
204,0.9996937,0,0.9996942,0.5678118379059727,1
210,1.0009165,0,0.99993515,0.5136106417786359,1
220,0.9978517,0,0.9998255,0.5382841204709417,1
221,1.0064838,0,1.0002805,0.4359160028964518,1
232,1.002479,0,1.0002406,0.4449003674202805,1
238,0.9909212,0,1.0003626,0.4174377128758012,1
242,0.9991285,0,0.9993561,0.6438839273741519,1
249,1.0025083,0,1.0001091,0.4744817228524687,1
250,1.0039647,0,1.0006998,0.34159358489554004,1
252,0.99730104,0,0.9992755,0.6620135704132808,1
257,0.9982982,0,1.0005953,0.3650870276503876,1
269,1.0032767,0,0.9995105,0.6091399147155845,1
273,0.996892,0,1.0000852,0.47984552256818735,1
275,0.9954574,0,1.0001763,0.4593558076541422,1
279,1.0046496,0,0.9999198,0.5170702925952745,1
282,1.0060017,0,0.9998303,0.5371979510285085,1
285,1.0047932,0,0.99981964,0.5395982514012927,1
288,1.0029315,0,1.0002736,0.4374715048140102,1
292,0.9999252,0,0.9993327,0.6491404510955561,1
298,1.0001739,0,1.00003,0.4922627189100759,1
303,1.0072248,0,0.9998157,0.5404832783543863,1
307,1.0044491,0,0.99967384,0.572397886662912,1
309,1.0050085,0,0.99909896,0.701732507308177,1
319,1.0024228,0,1.0001163,0.47284576393917455,1
320,1.0016285,0,1.0003157,0.42800439831576687,1
322,1.0043054,0,1.000141,0.46729423123340574,1
329,1.0060565,0,1.0003448,0.42146056266259013,1
330,0.9939984,0,1.0002936,0.43296591305280663,1
334,1.0022404,0,1.0000218,0.4941132298119988,1
340,1.0001056,0,1.0002298,0.44731407729235395,1
345,0.9982937,0,0.9999825,0.5029634993429346,1
347,1.0003722,0,0.9997192,0.5621932577037574,1
348,0.99659556,0,0.9998446,0.5339796711990774,1
356,1.0051428,0,0.99999493,0.5001609139914716,1
358,1.0072508,0,0.99992025,0.5169630166009601,1
359,0.9977815,0,0.9992249,0.6733982353098935,1
364,1.0036103,0,0.99870557,0.7902352026175343,1
384,1.000943,0,0.9999336,0.5139592887601576,1
390,0.9978544,0,0.99943936,0.6251508568670046,1
399,0.99944896,0,1.000195,0.45514522487730313,1
406,1.0011038,0,0.999547,0.6009333011505351,1
411,1.0027022,0,1.0003359,0.4234451685574061,1
413,1.0002342,0,1.0002097,0.4518464880521361,1
414,1.0054594,0,0.9995917,0.5908761766835626,1
415,1.0007821,0,0.99950755,0.6098103896800493,1
417,1.0037404,0,0.9993762,0.6393649261136589,1
419,0.9994265,0,0.9991805,0.6833883122804194,1
423,1.0041531,0,0.9992814,0.6606860299836403,1
427,1.0034677,0,0.999453,0.6220800815297557,1
440,0.998525,0,0.9999492,0.510445999946362,1
449,0.99734795,0,0.9996043,0.588046772333521,1
452,1.0056205,0,1.0001596,0.46311046745514517,1
461,0.9989193,0,0.99996036,0.5079384235792636,1
474,1.0004199,0,1.0006126,0.36119827285649153,1
506,0.9931925,0,0.9998269,0.5379622924879985,1
512,1.0007292,0,0.9989691,0.7309518062595542,1
515,0.9958631,0,0.99991477,0.5181966905355754,1
524,0.9903087,0,0.9988848,0.7499128382546196,1
527,1.0065166,0,1.0007653,0.3268431356773138,1
529,1.0009731,0,0.99992216,0.5165339126237026,1
530,0.99989605,0,0.99997795,0.5039826212889211,1
532,1.002614,0,1.0000271,0.4929331938745407,1
549,0.998904,0,0.99956334,0.5972590983452678,1
550,1.000607,0,0.9988831,0.7502883042347199,1
554,0.9975475,0,0.9995417,0.6021267465872824,1
563,1.001376,0,0.9993064,0.6550674497814252,1
564,1.0037692,0,1.0000571,0.48617480623273523,1
568,1.0022995,0,1.0004435,0.39925443183951514,1
569,1.0009664,0,0.99987745,0.526591037090675,1
571,0.9988423,0,1.0001448,0.4664360232788908,1
578,1.0043886,0,0.9994041,0.6330892804462681,1
583,1.0061117,0,0.99998415,0.5025880333628343,1
589,1.0017887,0,0.99938726,0.6368707592458498,1
597,1.0008748,0,1.0003356,0.4235256255531419,1
615,1.0022904,0,0.9997579,0.5534904926650039,1
619,0.9996787,0,0.99974144,0.5571915144688497,1
620,1.0031618,0,0.99905217,0.7122589642502749,1
630,1.0015212,0,0.99989045,0.5236677662456084,1
638,1.0047947,0,1.0001568,0.4637541234210315,1
642,0.99890685,0,0.9995413,0.6022206130823076,1
647,1.0028234,0,0.9995436,0.6016976426100249,1
649,0.996064,0,1.0001229,0.47137071901735195,1
655,1.0004227,0,0.9996206,0.5843725695282538,1
656,1.005161,0,0.99985635,0.531337999839086,1
660,1.0011976,0,0.9996877,0.5692868828277953,1
669,1.0066082,0,1.0006742,0.3473328505913589,1
688,1.0012326,0,0.9999098,0.519309678976587,1
689,1.0078704,0,0.9997966,0.5447743181269611,1
690,1.0016623,0,1.0004928,0.38815136642797754,1
694,1.006606,0,0.99961096,0.5865449084131198,1
695,1.0028205,0,0.99980855,0.5420924182691018,1
698,1.001802,0,0.99879086,0.7710462091345509,1
699,0.9965253,0,0.9986114,0.8114222114946228,1
709,1.0020888,0,0.99984103,0.5347842411564352,1
714,1.0056986,0,0.9996682,0.5736717890953952,1
717,0.9958218,0,0.9996064,0.5875774398583957,1
721,1.0043718,0,0.9999206,0.5168825596052243,1
723,1.0082924,0,1.000028,0.49271864188591197,1
727,0.99832475,0,0.99980694,0.5424544747499128,1
728,1.0052228,0,0.9999392,0.5126987958269638,1
